,Year,State,County,Number Unemployed,Percent Unemployed,Number of Crimes,Total Labor Force,Coordinates,Crimes per Capita,Number Unemployed for Area Counties (50 Miles),Unemployed Percent for Area Counties (50 Miles),Number of Crimes for Area Counties (50 Miles),Crime Percent for Area Counties (50 Miles),Coordinates for Area Counties (50 Miles),Total Area Counties (50 Miles),Highest Unemployment in Area (50 Miles),Lowest Unemployment in Area (50 Miles),Highest Crime Rate in Area (50 Miles),Lowest Crime Rate in Area (50 Miles)
7662,2010,MN,Koochiching,602.16667,8.69167,632,6938.5,"(48.1816012, -93.648322)",0.09109,"[2285.25, 602.16667]","[10.15, 8.69167]","[1665, 632]","[0.074, 0.09109]","['(47.5507924, -93.5683651)', '(48.1816012, -93.648322)']",2,False,True,True,False
7668,2010,MN,Lac Qui Parle,271.75,6.65,108,4081.91667,"(45.0562676, -96.2006981)",0.02646,"[851.25, 423.83333, 189.75, 308.66667, 524.75, 188.58333, 271.75, 369.66667, 167.16667]","[5.58333, 8.06667, 5.50833, 5.58333, 7.33333, 6.48333, 6.65, 6.28333, 6.775]","[924, 304, 12, 418, 392, 128, 108, 124, 42]","[0.06069, 0.05802, 0.00348, 0.07536, 0.0548, 0.04398, 0.02646, 0.0211, 0.01695]","['(44.3981292, -95.89871389999999)', '(45.2315651, -95.71960419999999)', '(44.4507066, -96.3226072)', '(45.52151180000001, -95.95221780000001)', '(45.0520041, -95.555641)', '(45.4932045, -96.4724)', '(45.0562676, -96.2006981)', '(44.7380445, -95.8564864)', '(44.7311414, -96.663812)']",9,False,False,False,False
7674,2010,MN,Yellow Medicine,369.66667,6.28333,124,5878.0,"(44.7380445, -95.8564864)",0.0211,"[851.25, 423.83333, 343.58333, 189.75, 578.08333, 524.75, 723.75, 1571.16667, 271.75, 369.66667, 167.16667]","[5.58333, 8.06667, 6.83333, 5.50833, 6.725, 7.33333, 8.05, 6.66667, 6.65, 6.28333, 6.775]","[924, 304, 114, 12, 522, 392, 582, 1970, 108, 124, 42]","[0.06069, 0.05802, 0.0227, 0.00348, 0.06084, 0.0548, 0.06472, 0.08359, 0.02646, 0.0211, 0.01695]","['(44.3981292, -95.89871389999999)', '(45.2315651, -95.71960419999999)', '(44.0243398, -95.81428849999999)', '(44.4507066, -96.3226072)', '(44.3516109, -95.3102505)', '(45.0520041, -95.555641)', '(44.66744449999999, -94.976654)', '(45.11445519999999, -95.0155836)', '(45.0562676, -96.2006981)', '(44.7380445, -95.8564864)', '(44.7311414, -96.663812)']",11,False,False,False,False
7680,2010,MN,Lake Of The Woods,147.5,6.46667,30,2281.58333,"(48.6943855, -94.92654739999999)",0.01315,"[555.25, 1853.75, 147.5]","[6.375, 8.2, 6.46667]","[192, 3309, 30]","[0.02211, 0.14647, 0.01315]","['(48.7249475, -95.9820524)', '(48.0370038, -94.82892389999999)', '(48.6943855, -94.92654739999999)']",3,False,False,False,True
7686,2010,MO,Ray,1188.75,10.28333,839,11571.66667,"(39.3354791, -93.9878427)",0.0725,"[7561.33333, 1188.75, 5138.33333, 10468.58333, 443.66667, 3988.83333, 976.41667, 549.66667, 1069.16667, 393.91667, 38529.25, 2334.41667, 4276.58333, 436.41667, 1719.41667, 583.08333]","[10.09167, 10.28333, 9.64167, 8.36667, 8.83333, 7.73333, 8.90833, 11.45833, 9.66667, 9.825, 10.68333, 9.94167, 9.15833, 9.56667, 9.80833, 8.15]","[17745, 839, 3880, 4601, 195, 2134, 824, 203, 502, 176, 26399, 2790, 8464, 356, 1039, 624]","[0.23662, 0.0725, 0.07272, 0.03681, 0.03881, 0.04137, 0.07504, 0.04233, 0.04534, 0.04389, 0.07312, 0.11876, 0.1814, 0.07806, 0.0592, 0.08732]","['(39.0986811, -94.7691586)', '(39.3354791, -93.9878427)', '(38.6574448, -94.315422)', '(39.3176186, -94.479976)', '(39.8554602, -94.43879)', '(39.34756489999999, -94.7691586)', '(39.1943564, -93.17796589999999)', '(39.5166572, -93.5003454)', '(39.6481768, -94.479976)', '(39.9949074, -93.9878427)', '(38.9914998, -94.315422)', '(38.6744747, -93.8248241)', '(39.6349791, -94.81059549999999)', '(39.6660775, -93.9878427)', '(39.0031288, -93.9878427)', '(39.8464073, -93.5003454)']",16,False,False,False,False
7692,2010,MO,Cass,5138.33333,9.64167,3880,53355.41667,"(38.6574448, -94.315422)",0.07272,"[506.08333, 1296.33333, 18720.58333, 7561.33333, 1188.75, 5138.33333, 10468.58333, 922.66667, 1093.75, 38529.25, 2334.41667, 1719.41667]","[11.15, 7.58333, 6.09167, 10.09167, 10.28333, 9.64167, 8.36667, 11.0, 10.775, 10.68333, 9.94167, 9.80833]","[328, 1176, 24832, 17745, 839, 3880, 4601, 880, 1735, 26399, 2790, 1039]","[0.07234, 0.06873, 0.08084, 0.23662, 0.0725, 0.07272, 0.03681, 0.10481, 0.17113, 0.07312, 0.11876, 0.0592]","['(38.1339574, -94.81059549999999)', '(38.6381689, -94.81059549999999)', '(38.845412, -94.8520636)', '(39.0986811, -94.7691586)', '(39.3354791, -93.9878427)', '(38.6574448, -94.315422)', '(39.3176186, -94.479976)', '(38.3216754, -94.315422)', '(38.3386592, -93.8248241)', '(38.9914998, -94.315422)', '(38.6744747, -93.8248241)', '(39.0031288, -93.9878427)']",12,False,False,False,False
7698,2010,MO,Clay,10468.58333,8.36667,4601,125000.5,"(39.3176186, -94.479976)",0.03681,"[18720.58333, 783.58333, 799.91667, 7561.33333, 2606.5, 1188.75, 5138.33333, 10468.58333, 820.0, 443.66667, 3988.83333, 1069.16667, 38529.25, 4276.58333, 436.41667, 1719.41667]","[6.09167, 9.84167, 7.49167, 10.09167, 7.59167, 10.28333, 9.64167, 8.36667, 8.275, 8.83333, 7.73333, 9.66667, 10.68333, 9.15833, 9.56667, 9.80833]","[24832, 757, 1074, 17745, 4716, 839, 3880, 4601, 348, 195, 2134, 502, 26399, 8464, 356, 1039]","[0.08084, 0.09537, 0.10065, 0.23662, 0.13733, 0.0725, 0.07272, 0.03681, 0.03516, 0.03881, 0.04137, 0.04534, 0.07312, 0.1814, 0.07806, 0.0592]","['(38.845412, -94.8520636)', '(39.5701137, -95.35208759999999)', '(39.2827652, -95.3102505)', '(39.0986811, -94.7691586)', '(39.1713075, -95.01824599999999)', '(39.3354791, -93.9878427)', '(38.6574448, -94.315422)', '(39.3176186, -94.479976)', '(39.9637436, -94.81059549999999)', '(39.8554602, -94.43879)', '(39.34756489999999, -94.7691586)', '(39.6481768, -94.479976)', '(38.9914998, -94.315422)', '(39.6349791, -94.81059549999999)', '(39.6660775, -93.9878427)', '(39.0031288, -93.9878427)']",16,False,False,False,False
7704,2010,MO,Cole,2790.75,6.85,909,40684.33333,"(38.5052486, -92.2630393)",0.02234,"[2790.75, 5970.83333, 516.08333, 2330.41667, 777.16667, 402.58333, 1526.5, 1160.33333, 1466.66667, 1853.08333, 624.5, 808.5]","[6.85, 6.44167, 6.91667, 12.03333, 9.75833, 9.45, 12.85833, 14.53333, 8.78333, 8.26667, 8.43333, 10.41667]","[909, 11203, 288, 1285, 909, 170, 890, 858, 2044, 2942, 336, 545]","[0.02234, 0.12104, 0.03857, 0.06604, 0.11418, 0.03995, 0.07506, 0.10746, 0.12235, 0.13147, 0.04543, 0.07031]","['(38.5052486, -92.2630393)', '(39.0468547, -92.38136209999999)', '(38.3853377, -91.9099238)', '(38.0322944, -92.6983868)', '(38.8693247, -92.8577105)', '(38.1738674, -91.949021)', '(38.2081417, -92.38136209999999)', '(38.3661344, -92.8577105)', '(37.8727481, -92.2236667)', '(38.8886044, -91.9099238)', '(38.5827118, -92.5792482)', '(38.4335915, -91.4821482)']",12,False,False,False,True
7710,2010,MO,Dade,330.58333,9.71667,137,3401.5,"(37.48636090000001, -93.9878427)",0.04028,"[650.5, 1683.75, 330.58333, 1480.66667, 583.33333, 593.08333, 12069.0, 5008.0, 2584.16667, 791.41667, 1632.75]","[9.00833, 8.69167, 9.71667, 10.28333, 9.54167, 10.31667, 8.34167, 8.48333, 8.99167, 8.26667, 9.29167]","[1099, 3665, 137, 1712, 721, 425, 4461, 4067, 2847, 1642, 2466]","[0.15217, 0.18935, 0.04028, 0.11885, 0.11794, 0.07382, 0.03082, 0.0689, 0.09899, 0.17153, 0.14045]","['(37.7957092, -94.81059549999999)', '(37.45579900000001, -94.81059549999999)', '(37.48636090000001, -93.9878427)', '(37.6766686, -93.33889169999999)', '(37.7031209, -93.86553029999999)', '(37.4748791, -94.315422)', '(37.3311215, -93.5003454)', '(37.17455650000001, -94.35651299999999)', '(36.9618494, -94.315422)', '(37.8148489, -94.315422)', '(37.1500679, -93.8248241)']",11,False,False,False,False
7716,2010,MO,Dent,674.33333,10.34167,698,6512.0,"(37.544666, -91.44346900000001)",0.10719,"[674.33333, 596.5, 1082.83333, 1784.75, 1466.66667, 481.16667, 1371.91667, 360.33333, 1469.41667]","[10.34167, 16.68333, 11.00833, 9.01667, 8.78333, 14.83333, 12.7, 15.14167, 14.31667]","[698, 279, 671, 3394, 2044, 355, 1055, 166, 697]","[0.10719, 0.07808, 0.06819, 0.17131, 0.12235, 0.10947, 0.09759, 0.06965, 0.06796]","['(37.544666, -91.44346900000001)', '(37.5515182, -90.6773046)', '(37.3673645, -91.9099238)', '(37.8806538, -91.7538817)', '(37.8727481, -92.2236667)', '(37.2028249, -91.44346900000001)', '(38.0561057, -91.28910359999999)', '(37.378663, -90.9820668)', '(37.8907566, -90.8294002)']",9,False,False,False,False
7722,2010,MO,Holt,213.5,7.94167,242,2692.41667,"(40.0704458, -95.18492189999999)",0.08988,"[483.33333, 349.33333, 250.08333, 783.58333, 400.58333, 213.5, 820.0, 443.66667, 278.08333, 1069.16667, 848.83333, 258.0, 4276.58333, 205.08333, 269.5]","[6.78333, 6.64167, 4.28333, 9.84167, 8.80833, 7.94167, 8.275, 8.83333, 7.88333, 9.66667, 7.21667, 8.6, 9.15833, 5.33333, 6.23333]","[650, 208, 213, 757, 356, 242, 348, 195, 64, 502, 713, 116, 8464, 68, 150]","[0.09115, 0.0395, 0.03659, 0.09537, 0.07843, 0.08988, 0.03516, 0.03881, 0.01816, 0.04534, 0.06064, 0.03867, 0.1814, 0.01766, 0.03466]","['(40.7635099, -95.1432068)', '(39.770047, -95.4777811)', '(39.7451077, -95.9832577)', '(39.5701137, -95.35208759999999)', '(39.8245628, -95.18492189999999)', '(40.0704458, -95.18492189999999)', '(39.9637436, -94.81059549999999)', '(39.8554602, -94.43879)', '(40.1406981, -94.479976)', '(39.6481768, -94.479976)', '(40.2907281, -94.81059549999999)', '(40.42389600000001, -95.4777811)', '(39.6349791, -94.81059549999999)', '(40.4074745, -95.81428849999999)', '(40.0898025, -95.6457951)']",15,False,False,False,False
7728,2010,MO,Iron,596.5,16.68333,279,3573.41667,"(37.5515182, -90.6773046)",0.07808,"[674.33333, 596.5, 599.58333, 307.16667, 663.75, 481.16667, 1371.91667, 360.33333, 588.41667, 12195.33333, 1469.41667]","[10.34167, 16.68333, 10.8, 11.53333, 12.15, 14.83333, 12.7, 15.14167, 10.075, 10.36667, 14.31667]","[698, 279, 407, 96, 280, 355, 1055, 166, 238, 9531, 697]","[0.10719, 0.07808, 0.07314, 0.036, 0.05131, 0.10947, 0.09759, 0.06965, 0.04074, 0.08108, 0.06796]","['(37.544666, -91.44346900000001)', '(37.5515182, -90.6773046)', '(37.0388739, -90.52578229999999)', '(36.9073725, -90.9438468)', '(37.5528602, -90.37483540000001)', '(37.2028249, -91.44346900000001)', '(38.0561057, -91.28910359999999)', '(37.378663, -90.9820668)', '(37.2115595, -90.0746767)', '(38.2310301, -90.52578229999999)', '(37.8907566, -90.8294002)']",11,True,False,False,False
7734,2010,MO,Knox,156.16667,7.775,214,2007.58333,"(40.2058437, -92.2236667)",0.1066,"[302.5, 451.16667, 288.75, 156.16667, 958.58333, 430.0, 443.83333, 692.83333, 1342.91667, 505.08333, 192.41667, 279.16667, 203.0, 185.83333]","[7.11667, 7.275, 7.275, 7.775, 8.65, 12.4, 8.525, 9.26667, 9.1, 12.26667, 8.06667, 8.6, 10.35, 8.05]","[76, 625, 188, 214, 1684, 160, 273, 590, 334, 216, 46, 192, 49, 121]","[0.01787, 0.1008, 0.04734, 0.1066, 0.15195, 0.04621, 0.05247, 0.07886, 0.02261, 0.05246, 0.01927, 0.05923, 0.025, 0.05249]","['(40.6913838, -92.38136209999999)', '(40.6806102, -92.8577105)', '(40.7001158, -91.9099238)', '(40.2058437, -92.2236667)', '(40.1993655, -92.539603)', '(40.3772378, -91.7538817)', '(40.0500853, -91.7538817)', '(39.871344, -92.539603)', '(39.8464028, -91.63721500000001)', '(39.5508815, -92.0665197)', '(40.4744901, -92.97755579999999)', '(39.8388716, -92.1057549)', '(40.4857709, -92.49999179999999)', '(40.4921465, -92.18432849999999)']",14,False,False,False,False
