,Year,State,County,Number Unemployed,Percent Unemployed,Number of Crimes,Total Labor Force,Coordinates,Crimes per Capita,Number Unemployed for Area Counties (50 Miles),Unemployed Percent for Area Counties (50 Miles),Number of Crimes for Area Counties (50 Miles),Crime Percent for Area Counties (50 Miles),Coordinates for Area Counties (50 Miles),Total Area Counties (50 Miles),Highest Unemployment in Area (50 Miles),Lowest Unemployment in Area (50 Miles),Highest Crime Rate in Area (50 Miles),Lowest Crime Rate in Area (50 Miles)
2333,2015,GA,Clarke,3475.5,6.075,10436,57139.33333,"(33.9519347, -83.357567)",0.18264,"[4506.66667, 644.41667, 458.16667, 1898.0, 3475.5, 565.16667, 451.08333, 355.33333, 462.41667, 3271.16667, 777.66667, 629.58333, 2253.33333, 281.16667, 4731.75, 243.75, 1486.66667, 700.16667, 582.5, 23425.16667, 2755.5, 709.41667, 1075.25, 372.83333, 46.33333]","[4.85833, 6.19167, 5.58333, 5.25833, 6.075, 7.425, 6.60833, 5.50833, 5.475, 6.75833, 4.44167, 8.06667, 5.40833, 7.225, 4.54167, 9.79167, 4.85, 5.54167, 6.275, 5.175, 6.54167, 6.54167, 5.71667, 5.54167, 7.8]","[8237, 1372, 1112, 2636, 10436, 1382, 590, 478, 712, 5412, 1248, 1448, 3772, 88, 3929, 320, 2290, 1310, 672, 40664, 5537, 2038, 1438, 812, 58]","[0.08877, 0.13189, 0.13524, 0.07298, 0.18264, 0.18152, 0.08642, 0.0742, 0.08453, 0.11173, 0.07094, 0.1856, 0.0905, 0.02262, 0.03763, 0.12863, 0.07448, 0.10375, 0.07236, 0.08987, 0.13099, 0.18762, 0.07642, 0.12069, 0.09781]","['(34.30778, -83.804868)', '(34.3500039, -82.95015579999999)', '(34.378542, -83.46435509999999)', '(34.0142667, -83.6986568)', '(33.9519347, -83.357567)', '(34.0795372, -82.8640623)', '(33.5186591, -83.1649001)', '(33.3246924, -83.7199136)', '(33.5794186, -83.46435509999999)', '(33.5544296, -83.8473015)', '(33.8231988, -83.4430118)', '(33.3069978, -83.3789389)', '(33.7708613, -83.7199136)', '(33.808264, -82.7778579)', '(34.2358502, -84.14351359999999)', '(33.2882621, -83.03613759999999)', '(34.1174511, -83.54965659999999)', '(34.0990245, -83.2077645)', '(34.3645724, -83.2077645)', '(33.9190653, -84.01674229999999)', '(33.6752492, -84.0378894)', '(34.5458998, -83.2934086)', '(34.6478893, -83.54965659999999)', '(33.9119731, -83.03613759999999)', '(33.56978780000001, -82.8855961)']",25,False,False,False,False
2339,2015,GA,Clinch,194.58333,7.01667,500,2773.33333,"(30.9716985, -82.82097399999999)",0.18029,"[293.83333, 486.16667, 942.25, 281.25, 418.5, 194.58333, 1162.0, 86.91667, 252.0, 501.5, 504.83333, 2973.66667, 221.58333, 304.5]","[6.50833, 6.65833, 6.50833, 5.73333, 6.08333, 7.01667, 6.71667, 4.65833, 6.65833, 6.24167, 7.175, 5.91667, 5.75833, 6.39167]","[857, 929, 1516, 626, 978, 500, 3702, 66, 482, 899, 995, 8458, 102, 450]","[0.18951, 0.12748, 0.10463, 0.12787, 0.14204, 0.18029, 0.2141, 0.03537, 0.12744, 0.11173, 0.14124, 0.16793, 0.02639, 0.09439]","['(30.47559579999999, -82.95015579999999)', '(31.1428037, -83.46435509999999)', '(31.134411, -82.4752757)', '(31.5412085, -82.4319405)', '(30.8730159, -83.54965659999999)', '(30.9716985, -82.82097399999999)', '(31.5182285, -82.82097399999999)', '(30.7503289, -82.95015579999999)', '(31.02912689999999, -83.03613759999999)', '(31.343806, -82.1713632)', '(31.3118535, -83.2077645)', '(30.8600022, -83.2934086)', '(31.2932161, -82.8640623)', '(30.7917361, -82.08429009999999)']",14,False,False,False,False
2345,2015,GA,Coffee,1162.0,6.71667,3702,17291.08333,"(31.5182285, -82.82097399999999)",0.2141,"[486.16667, 1120.16667, 942.25, 281.25, 582.5, 262.0, 194.58333, 1162.0, 252.0, 501.5, 216.08333, 215.25, 632.91667, 504.83333, 419.66667, 183.91667, 221.58333, 493.16667, 422.16667]","[6.65833, 6.10833, 6.50833, 5.73333, 8.375, 8.36667, 7.01667, 6.71667, 6.65833, 6.24167, 6.775, 7.84167, 7.29167, 7.175, 8.74167, 10.85, 5.75833, 8.99167, 6.66667]","[929, 4126, 1516, 626, 1670, 527, 500, 3702, 482, 899, 400, 173, 545, 995, 40, 162, 102, 1353, 752]","[0.12748, 0.22488, 0.10463, 0.12787, 0.24005, 0.16814, 0.18029, 0.2141, 0.12744, 0.11173, 0.1253, 0.06307, 0.06284, 0.14124, 0.00829, 0.09565, 0.02639, 0.24701, 0.11855]","['(31.1428037, -83.46435509999999)', '(31.4205597, -83.54965659999999)', '(31.134411, -82.4752757)', '(31.5412085, -82.4319405)', '(32.1287268, -83.2077645)', '(31.5893221, -83.2934086)', '(30.9716985, -82.82097399999999)', '(31.5182285, -82.82097399999999)', '(31.02912689999999, -83.03613759999999)', '(31.343806, -82.1713632)', '(31.6976531, -83.63484299999999)', '(31.9611759, -83.46435509999999)', '(31.712238, -82.25832969999999)', '(31.3118535, -83.2077645)', '(31.8907647, -82.99316069999999)', '(32.0999794, -82.6915429)', '(31.2932161, -82.8640623)', '(31.7664035, -83.2077645)', '(31.8234851, -82.605118)']",19,False,False,False,False
2351,2015,GA,Coweta,3602.08333,5.30833,5394,67858.91667,"(33.3716708, -84.7315563)",0.07949,"[905.58333, 342.25, 556.91667, 20179.75, 470.5, 672.25, 315.5, 6466.75, 590.16667, 2161.75, 805.91667, 3602.08333, 22495.41667, 30777.41667, 822.08333, 208.25, 3477.75, 9626.5, 4326.0, 2805.83333, 775.58333, 3968.5, 2755.5, 2179.75, 694.58333]","[6.05833, 6.025, 5.90833, 5.06667, 5.71667, 6.65, 6.43333, 6.15, 7.68333, 6.08333, 7.23333, 5.30833, 6.025, 6.0, 5.25, 7.71667, 6.70833, 7.61667, 6.325, 5.19167, 6.54167, 5.21667, 6.54167, 8.05, 8.00833]","[2597, 365, 706, 40943, 482, 1018, 324, 12653, 1113, 5647, 2160, 5394, 73762, 45275, 708, 112, 6561, 26534, 8438, 3462, 1460, 7165, 5537, 5870, 895]","[0.17343, 0.06429, 0.07484, 0.10279, 0.05858, 0.10053, 0.06596, 0.12046, 0.14488, 0.15863, 0.19407, 0.07949, 0.19769, 0.08796, 0.04509, 0.04154, 0.12668, 0.20993, 0.12347, 0.06392, 0.123, 0.09386, 0.13099, 0.2165, 0.10321]","['(32.9028048, -85.35496499999999)', '(33.6261707, -85.52002399999999)', '(33.2681523, -85.52002399999999)', '(33.8999297, -84.56414699999999)', '(33.0881873, -84.3962535)', '(33.2691443, -83.9532571)', '(33.2990406, -85.14793639999999)', '(33.4347963, -84.14351359999999)', '(33.0765883, -84.14351359999999)', '(33.0698575, -85.02334599999999)', '(32.9047684, -84.3121264)', '(33.3716708, -84.7315563)', '(33.7956441, -84.2278796)', '(33.8033965, -84.3962535)', '(32.7032697, -84.8567932)', '(32.6891322, -84.5222189)', '(33.5642239, -85.0649071)', '(33.5571944, -84.375233)', '(33.7290225, -84.7315563)', '(33.4502206, -84.4802606)', '(33.8021715, -85.1900684)', '(33.9142037, -84.8984775)', '(33.6752492, -84.0378894)', '(33.2636732, -84.3121264)', '(33.0561282, -84.68974949999999)']",25,False,False,False,False
2357,2015,GA,Dawson,558.41667,5.10833,1037,10945.25,"(34.412912, -84.14351359999999)",0.09474,"[20179.75, 4506.66667, 458.16667, 308.33333, 524.91667, 714.08333, 1898.0, 2755.16667, 558.41667, 22495.41667, 625.5, 30777.41667, 707.33333, 1543.08333, 1182.83333, 4731.75, 1486.66667, 827.0, 738.08333, 5624.08333, 23425.16667, 709.41667, 1075.25, 717.66667]","[5.06667, 4.85833, 5.58333, 7.89167, 5.33333, 5.18333, 5.25833, 5.875, 5.10833, 6.025, 6.19167, 6.0, 6.025, 5.9, 7.35833, 4.54167, 4.85, 5.40833, 5.30833, 4.68333, 5.175, 6.54167, 5.71667, 6.43333]","[40943, 8237, 1112, 412, 598, 1696, 2636, 8598, 1037, 73762, 492, 45275, 1078, 2922, 8250, 3929, 2290, 861, 904, 6483, 40664, 2038, 1438, 1705]","[0.10279, 0.08877, 0.13524, 0.10522, 0.06082, 0.12303, 0.07298, 0.18349, 0.09474, 0.19769, 0.04865, 0.08796, 0.09196, 0.11172, 0.51339, 0.03763, 0.07448, 0.0562, 0.06515, 0.05386, 0.08987, 0.18762, 0.07642, 0.15332]","['(33.8999297, -84.56414699999999)', '(34.30778, -83.804868)', '(34.378542, -83.46435509999999)', '(34.9208214, -83.7199136)', '(34.8457601, -83.9744262)', '(34.6567728, -83.7199136)', '(34.0142667, -83.6986568)', '(34.2660473, -84.8150781)', '(34.412912, -84.14351359999999)', '(33.7956441, -84.2278796)', '(34.8580405, -84.2278796)', '(33.8033965, -84.3962535)', '(34.6935359, -84.4802606)', '(34.4891699, -84.8567932)', '(34.7928029, -84.7315563)', '(34.2358502, -84.14351359999999)', '(34.1174511, -83.54965659999999)', '(34.5813972, -83.9744262)', '(34.4497166, -84.4592701)', '(34.2514526, -84.4802606)', '(33.9190653, -84.01674229999999)', '(34.5458998, -83.2934086)', '(34.6478893, -83.54965659999999)', '(35.1134803, -84.05902900000001)']",24,False,False,False,False
2363,2015,GA,Dekalb,22495.41667,6.025,73762,373115.6667,"(33.7956441, -84.2278796)",0.19769,"[20179.75, 4506.66667, 470.5, 672.25, 6466.75, 590.16667, 1898.0, 2755.16667, 3602.08333, 558.41667, 22495.41667, 30777.41667, 355.33333, 462.41667, 3271.16667, 777.66667, 2253.33333, 9626.5, 4326.0, 2805.83333, 4731.75, 1486.66667, 738.08333, 5624.08333, 23425.16667, 3968.5, 2755.5, 2179.75]","[5.06667, 4.85833, 5.71667, 6.65, 6.15, 7.68333, 5.25833, 5.875, 5.30833, 5.10833, 6.025, 6.0, 5.50833, 5.475, 6.75833, 4.44167, 5.40833, 7.61667, 6.325, 5.19167, 4.54167, 4.85, 5.30833, 4.68333, 5.175, 5.21667, 6.54167, 8.05]","[40943, 8237, 482, 1018, 12653, 1113, 2636, 8598, 5394, 1037, 73762, 45275, 478, 712, 5412, 1248, 3772, 26534, 8438, 3462, 3929, 2290, 904, 6483, 40664, 7165, 5537, 5870]","[0.10279, 0.08877, 0.05858, 0.10053, 0.12046, 0.14488, 0.07298, 0.18349, 0.07949, 0.09474, 0.19769, 0.08796, 0.0742, 0.08453, 0.11173, 0.07094, 0.0905, 0.20993, 0.12347, 0.06392, 0.03763, 0.07448, 0.06515, 0.05386, 0.08987, 0.09386, 0.13099, 0.2165]","['(33.8999297, -84.56414699999999)', '(34.30778, -83.804868)', '(33.0881873, -84.3962535)', '(33.2691443, -83.9532571)', '(33.4347963, -84.14351359999999)', '(33.0765883, -84.14351359999999)', '(34.0142667, -83.6986568)', '(34.2660473, -84.8150781)', '(33.3716708, -84.7315563)', '(34.412912, -84.14351359999999)', '(33.7956441, -84.2278796)', '(33.8033965, -84.3962535)', '(33.3246924, -83.7199136)', '(33.5794186, -83.46435509999999)', '(33.5544296, -83.8473015)', '(33.8231988, -83.4430118)', '(33.7708613, -83.7199136)', '(33.5571944, -84.375233)', '(33.7290225, -84.7315563)', '(33.4502206, -84.4802606)', '(34.2358502, -84.14351359999999)', '(34.1174511, -83.54965659999999)', '(34.4497166, -84.4592701)', '(34.2514526, -84.4802606)', '(33.9190653, -84.01674229999999)', '(33.9142037, -84.8984775)', '(33.6752492, -84.0378894)', '(33.2636732, -84.3121264)']",28,False,False,False,False
2369,2015,GA,Echols,86.91667,4.65833,66,1865.83333,"(30.7503289, -82.95015579999999)",0.03537,"[624.5, 459.75, 1595.16667, 293.83333, 979.58333, 486.16667, 942.25, 418.5, 194.58333, 86.91667, 252.0, 504.83333, 2973.66667, 221.58333]","[5.58333, 6.15, 5.50833, 6.50833, 5.46667, 6.65833, 6.50833, 6.08333, 7.01667, 4.65833, 6.65833, 7.175, 5.91667, 5.75833]","[999, 1287, 4997, 857, 1338, 929, 1516, 978, 500, 66, 482, 995, 8458, 102]","[0.08941, 0.17216, 0.17244, 0.18951, 0.07459, 0.12748, 0.10463, 0.14204, 0.18029, 0.03537, 0.12744, 0.14124, 0.16793, 0.02639]","['(30.3931168, -82.3017728)', '(30.4586334, -83.5070203)', '(30.1812696, -82.605118)', '(30.47559579999999, -82.95015579999999)', '(30.24850959999999, -82.99316069999999)', '(31.1428037, -83.46435509999999)', '(31.134411, -82.4752757)', '(30.8730159, -83.54965659999999)', '(30.9716985, -82.82097399999999)', '(30.7503289, -82.95015579999999)', '(31.02912689999999, -83.03613759999999)', '(31.3118535, -83.2077645)', '(30.8600022, -83.2934086)', '(31.2932161, -82.8640623)']",14,False,True,False,False
2375,2015,GA,Elbert,565.16667,7.425,1382,7613.58333,"(34.0795372, -82.8640623)",0.18152,"[644.41667, 458.16667, 1898.0, 3475.5, 565.16667, 451.08333, 462.41667, 777.66667, 205.66667, 281.16667, 1486.66667, 226.91667, 700.16667, 582.5, 730.5, 709.41667, 372.83333, 46.33333, 1996.91667, 4774.91667, 711.91667, 1973.25, 243.91667]","[6.19167, 5.58333, 5.25833, 6.075, 7.425, 6.60833, 5.475, 4.44167, 7.79167, 7.225, 4.85, 6.73333, 5.54167, 6.275, 8.31667, 6.54167, 5.54167, 7.8, 5.8, 5.39167, 6.88333, 6.29167, 7.08333]","[1372, 1112, 2636, 10436, 1382, 590, 712, 1248, 162, 88, 2290, 392, 1310, 672, 500, 2038, 812, 58, 4104, 20109, 1155, 6648, 461]","[0.13189, 0.13524, 0.07298, 0.18264, 0.18152, 0.08642, 0.08453, 0.07094, 0.06138, 0.02262, 0.07448, 0.1165, 0.10375, 0.07236, 0.05691, 0.18762, 0.12069, 0.09781, 0.11899, 0.22729, 0.1116, 0.21265, 0.134]","['(34.3500039, -82.95015579999999)', '(34.378542, -83.46435509999999)', '(34.0142667, -83.6986568)', '(33.9519347, -83.357567)', '(34.0795372, -82.8640623)', '(33.5186591, -83.1649001)', '(33.5794186, -83.46435509999999)', '(33.8231988, -83.4430118)', '(33.4470392, -82.6915429)', '(33.808264, -82.7778579)', '(34.1174511, -83.54965659999999)', '(33.7875101, -82.4319405)', '(34.0990245, -83.2077645)', '(34.3645724, -83.2077645)', '(33.5258626, -82.5185837)', '(34.5458998, -83.2934086)', '(33.9119731, -83.03613759999999)', '(33.56978780000001, -82.8855961)', '(34.74924500000001, -82.99316069999999)', '(34.5528328, -82.6483442)', '(34.1891221, -82.4752757)', '(34.1672949, -82.12783999999999)', '(33.8655162, -82.25832969999999)']",23,False,False,False,False
2381,2015,GA,Fannin,625.5,6.19167,492,10114.08333,"(34.8580405, -84.2278796)",0.04865,"[4506.66667, 436.0, 308.33333, 524.91667, 714.08333, 558.41667, 625.5, 707.33333, 1543.08333, 1182.83333, 4731.75, 827.0, 738.08333, 5624.08333, 1075.25, 2910.66667, 248.58333, 717.66667]","[4.85833, 6.71667, 7.89167, 5.33333, 5.18333, 5.10833, 6.19167, 6.025, 5.9, 7.35833, 4.54167, 5.40833, 5.30833, 4.68333, 5.71667, 6.38333, 6.14167, 6.43333]","[8237, 728, 412, 598, 1696, 1037, 492, 1078, 2922, 8250, 3929, 861, 904, 6483, 1438, 5909, 679, 1705]","[0.08877, 0.11194, 0.10522, 0.06082, 0.12303, 0.09474, 0.04865, 0.09196, 0.11172, 0.51339, 0.03763, 0.0562, 0.06515, 0.05386, 0.07642, 0.12958, 0.1679, 0.15332]","['(34.30778, -83.804868)', '(34.9027286, -83.3789389)', '(34.9208214, -83.7199136)', '(34.8457601, -83.9744262)', '(34.6567728, -83.7199136)', '(34.412912, -84.14351359999999)', '(34.8580405, -84.2278796)', '(34.6935359, -84.4802606)', '(34.4891699, -84.8567932)', '(34.7928029, -84.7315563)', '(34.2358502, -84.14351359999999)', '(34.5813972, -83.9744262)', '(34.4497166, -84.4592701)', '(34.2514526, -84.4802606)', '(34.6478893, -83.54965659999999)', '(34.8033566, -84.981754)', '(35.0964003, -83.7199136)', '(35.1134803, -84.05902900000001)']",18,False,False,False,False
2387,2015,GA,Fulton,30777.41667,6.0,45275,514749.3333,"(33.8033965, -84.3962535)",0.08796,"[20179.75, 4506.66667, 470.5, 1201.58333, 672.25, 6466.75, 1898.0, 2755.16667, 3602.08333, 558.41667, 22495.41667, 30777.41667, 3271.16667, 2253.33333, 3477.75, 9626.5, 4326.0, 2805.83333, 4731.75, 738.08333, 5624.08333, 23425.16667, 775.58333, 3968.5, 2755.5, 2179.75]","[5.06667, 4.85833, 5.71667, 6.61667, 6.65, 6.15, 5.25833, 5.875, 5.30833, 5.10833, 6.025, 6.0, 6.75833, 5.40833, 6.70833, 7.61667, 6.325, 5.19167, 4.54167, 5.30833, 4.68333, 5.175, 6.54167, 5.21667, 6.54167, 8.05]","[40943, 8237, 482, 4424, 1018, 12653, 2636, 8598, 5394, 1037, 73762, 45275, 5412, 3772, 6561, 26534, 8438, 3462, 3929, 904, 6483, 40664, 1460, 7165, 5537, 5870]","[0.10279, 0.08877, 0.05858, 0.24375, 0.10053, 0.12046, 0.07298, 0.18349, 0.07949, 0.09474, 0.19769, 0.08796, 0.11173, 0.0905, 0.12668, 0.20993, 0.12347, 0.06392, 0.03763, 0.06515, 0.05386, 0.08987, 0.123, 0.09386, 0.13099, 0.2165]","['(33.8999297, -84.56414699999999)', '(34.30778, -83.804868)', '(33.0881873, -84.3962535)', '(34.0132398, -85.14793639999999)', '(33.2691443, -83.9532571)', '(33.4347963, -84.14351359999999)', '(34.0142667, -83.6986568)', '(34.2660473, -84.8150781)', '(33.3716708, -84.7315563)', '(34.412912, -84.14351359999999)', '(33.7956441, -84.2278796)', '(33.8033965, -84.3962535)', '(33.5544296, -83.8473015)', '(33.7708613, -83.7199136)', '(33.5642239, -85.0649071)', '(33.5571944, -84.375233)', '(33.7290225, -84.7315563)', '(33.4502206, -84.4802606)', '(34.2358502, -84.14351359999999)', '(34.4497166, -84.4592701)', '(34.2514526, -84.4802606)', '(33.9190653, -84.01674229999999)', '(33.8021715, -85.1900684)', '(33.9142037, -84.8984775)', '(33.6752492, -84.0378894)', '(33.2636732, -84.3121264)']",26,False,False,False,False
2393,2015,GA,Gilmer,707.33333,6.025,1078,11723.08333,"(34.6935359, -84.4802606)",0.09196,"[4506.66667, 308.33333, 524.91667, 714.08333, 2755.16667, 558.41667, 625.5, 707.33333, 1543.08333, 1182.83333, 1754.41667, 1637.83333, 4731.75, 827.0, 738.08333, 5624.08333, 2910.66667, 717.66667]","[4.85833, 7.89167, 5.33333, 5.18333, 5.875, 5.10833, 6.19167, 6.025, 5.9, 7.35833, 5.975, 5.21667, 4.54167, 5.40833, 5.30833, 4.68333, 6.38333, 6.43333]","[8237, 412, 598, 1696, 8598, 1037, 492, 1078, 2922, 8250, 3868, 2703, 3929, 861, 904, 6483, 5909, 1705]","[0.08877, 0.10522, 0.06082, 0.12303, 0.18349, 0.09474, 0.04865, 0.09196, 0.11172, 0.51339, 0.13156, 0.08615, 0.03763, 0.0562, 0.06515, 0.05386, 0.12958, 0.15332]","['(34.30778, -83.804868)', '(34.9208214, -83.7199136)', '(34.8457601, -83.9744262)', '(34.6567728, -83.7199136)', '(34.2660473, -84.8150781)', '(34.412912, -84.14351359999999)', '(34.8580405, -84.2278796)', '(34.6935359, -84.4802606)', '(34.4891699, -84.8567932)', '(34.7928029, -84.7315563)', '(34.6858231, -85.35496499999999)', '(34.8981727, -85.14793639999999)', '(34.2358502, -84.14351359999999)', '(34.5813972, -83.9744262)', '(34.4497166, -84.4592701)', '(34.2514526, -84.4802606)', '(34.8033566, -84.981754)', '(35.1134803, -84.05902900000001)']",18,False,False,False,False
2399,2015,GA,Gordon,1543.08333,5.9,2922,26154.08333,"(34.4891699, -84.8567932)",0.11172,"[1744.66667, 20179.75, 429.75, 1201.58333, 2867.33333, 2755.16667, 558.41667, 625.5, 707.33333, 1543.08333, 1182.83333, 1754.41667, 1637.83333, 4731.75, 738.08333, 5624.08333, 3968.5, 650.5, 2910.66667]","[6.06667, 5.06667, 5.475, 6.61667, 6.675, 5.875, 5.10833, 6.19167, 6.025, 5.9, 7.35833, 5.975, 5.21667, 4.54167, 5.30833, 4.68333, 5.21667, 6.15833, 6.38333]","[3170, 40943, 148, 4424, 6946, 8598, 1037, 492, 1078, 2922, 8250, 3868, 2703, 3929, 904, 6483, 7165, 1110, 5909]","[0.1102, 0.10279, 0.01885, 0.24375, 0.1616, 0.18349, 0.09474, 0.04865, 0.09196, 0.11172, 0.51339, 0.13156, 0.08615, 0.03763, 0.06515, 0.05386, 0.09386, 0.10519, 0.12958]","['(34.5211397, -85.684578)', '(33.8999297, -84.56414699999999)', '(34.9109017, -85.47880649999999)', '(34.0132398, -85.14793639999999)', '(34.2828967, -85.2308414)', '(34.2660473, -84.8150781)', '(34.412912, -84.14351359999999)', '(34.8580405, -84.2278796)', '(34.6935359, -84.4802606)', '(34.4891699, -84.8567932)', '(34.7928029, -84.7315563)', '(34.6858231, -85.35496499999999)', '(34.8981727, -85.14793639999999)', '(34.2358502, -84.14351359999999)', '(34.4497166, -84.4592701)', '(34.2514526, -84.4802606)', '(33.9142037, -84.8984775)', '(34.4632661, -85.31362179999999)', '(34.8033566, -84.981754)']",19,False,False,False,False
2405,2015,GA,Greene,451.08333,6.60833,590,6826.91667,"(33.5186591, -83.1649001)",0.08642,"[672.25, 743.08333, 1898.0, 3475.5, 565.16667, 451.08333, 355.33333, 462.41667, 3271.16667, 777.66667, 629.58333, 2253.33333, 205.66667, 281.16667, 1358.58333, 243.75, 1486.66667, 226.91667, 700.16667, 81.66667, 730.5, 263.25, 372.83333, 46.33333, 502.58333]","[6.65, 5.5, 5.25833, 6.075, 7.425, 6.60833, 5.50833, 5.475, 6.75833, 4.44167, 8.06667, 5.40833, 7.79167, 7.225, 7.66667, 9.79167, 4.85, 6.73333, 5.54167, 6.63333, 8.31667, 7.29167, 5.54167, 7.8, 6.98333]","[1018, 1316, 2636, 10436, 1382, 590, 478, 712, 5412, 1248, 1448, 3772, 162, 88, 3841, 320, 2290, 392, 1310, 42, 500, 206, 812, 58, 1102]","[0.10053, 0.09765, 0.07298, 0.18264, 0.18152, 0.08642, 0.0742, 0.08453, 0.11173, 0.07094, 0.1856, 0.0905, 0.06138, 0.02262, 0.2164, 0.12863, 0.07448, 0.1165, 0.10375, 0.03405, 0.05691, 0.05717, 0.12069, 0.09781, 0.15312]","['(33.2691443, -83.9532571)', '(33.0002582, -83.5070203)', '(34.0142667, -83.6986568)', '(33.9519347, -83.357567)', '(34.0795372, -82.8640623)', '(33.5186591, -83.1649001)', '(33.3246924, -83.7199136)', '(33.5794186, -83.46435509999999)', '(33.5544296, -83.8473015)', '(33.8231988, -83.4430118)', '(33.3069978, -83.3789389)', '(33.7708613, -83.7199136)', '(33.4470392, -82.6915429)', '(33.808264, -82.7778579)', '(33.0338083, -83.2934086)', '(33.2882621, -83.03613759999999)', '(34.1174511, -83.54965659999999)', '(33.7875101, -82.4319405)', '(34.0990245, -83.2077645)', '(33.2422994, -82.6267345)', '(33.5258626, -82.5185837)', '(32.8024682, -83.1649001)', '(33.9119731, -83.03613759999999)', '(33.56978780000001, -82.8855961)', '(32.962702, -82.82097399999999)']",25,False,False,False,False
2411,2015,GA,Harris,822.08333,5.25,708,15700.41667,"(32.7032697, -84.8567932)",0.04509,"[3719.08333, 1429.58333, 905.58333, 470.5, 315.5, 590.16667, 2161.75, 805.91667, 3602.08333, 822.08333, 290.25, 140.16667, 208.25, 254.41667, 146.0, 5883.5, 2179.75, 694.58333, 184.83333]","[5.25, 5.95, 6.05833, 5.71667, 6.43333, 7.68333, 6.08333, 7.23333, 5.30833, 5.25, 8.41667, 6.63333, 7.71667, 9.18333, 6.90833, 7.45, 8.05, 8.00833, 8.74167]","[6934, 880, 2597, 482, 324, 1113, 5647, 2160, 5394, 708, 76, 170, 112, 188, 18, 24973, 5870, 895, 9]","[0.09786, 0.03651, 0.17343, 0.05858, 0.06596, 0.14488, 0.15863, 0.19407, 0.07949, 0.04509, 0.02206, 0.08058, 0.04154, 0.06779, 0.00851, 0.31652, 0.2165, 0.10321, 0.00427]","['(32.5888702, -85.39627689999999)', '(32.3552497, -85.1894045)', '(32.9028048, -85.35496499999999)', '(33.0881873, -84.3962535)', '(33.2990406, -85.14793639999999)', '(33.0765883, -84.14351359999999)', '(33.0698575, -85.02334599999999)', '(32.9047684, -84.3121264)', '(33.3716708, -84.7315563)', '(32.7032697, -84.8567932)', '(32.328102, -84.5222189)', '(32.2736136, -84.3121264)', '(32.6891322, -84.5222189)', '(32.5407455, -84.2278796)', '(32.1141344, -84.8150781)', '(32.4794133, -84.8984775)', '(33.2636732, -84.3121264)', '(33.0561282, -84.68974949999999)', '(32.2952274, -84.8150781)']",19,False,True,False,False
2417,2015,GA,Jasper,355.33333,5.50833,478,6441.75,"(33.3246924, -83.7199136)",0.0742,"[4518.83333, 470.5, 672.25, 6466.75, 743.08333, 590.16667, 805.91667, 1898.0, 3475.5, 22495.41667, 451.08333, 355.33333, 736.33333, 462.41667, 3271.16667, 777.66667, 629.58333, 270.0, 2253.33333, 1358.58333, 9626.5, 2805.83333, 243.75, 350.5, 23425.16667, 2755.5, 2179.75, 263.25]","[6.65833, 5.71667, 6.65, 6.15, 5.5, 7.68333, 7.23333, 5.25833, 6.075, 6.025, 6.60833, 5.50833, 5.81667, 5.475, 6.75833, 4.44167, 8.06667, 9.11667, 5.40833, 7.66667, 7.61667, 5.19167, 9.79167, 6.29167, 5.175, 6.54167, 8.05, 7.29167]","[17810, 482, 1018, 12653, 1316, 1113, 2160, 2636, 10436, 73762, 590, 478, 1294, 712, 5412, 1248, 1448, 305, 3772, 3841, 26534, 3462, 320, 527, 40664, 5537, 5870, 206]","[0.26217, 0.05858, 0.10053, 0.12046, 0.09765, 0.14488, 0.19407, 0.07298, 0.18264, 0.19769, 0.08642, 0.0742, 0.10213, 0.08453, 0.11173, 0.07094, 0.1856, 0.10287, 0.0905, 0.2164, 0.20993, 0.06392, 0.12863, 0.09452, 0.08987, 0.13099, 0.2165, 0.05717]","['(32.7865735, -83.7199136)', '(33.0881873, -84.3962535)', '(33.2691443, -83.9532571)', '(33.4347963, -84.14351359999999)', '(33.0002582, -83.5070203)', '(33.0765883, -84.14351359999999)', '(32.9047684, -84.3121264)', '(34.0142667, -83.6986568)', '(33.9519347, -83.357567)', '(33.7956441, -84.2278796)', '(33.5186591, -83.1649001)', '(33.3246924, -83.7199136)', '(32.9746846, -83.8897057)', '(33.5794186, -83.46435509999999)', '(33.5544296, -83.8473015)', '(33.8231988, -83.4430118)', '(33.3069978, -83.3789389)', '(32.68356, -83.46435509999999)', '(33.7708613, -83.7199136)', '(33.0338083, -83.2934086)', '(33.5571944, -84.375233)', '(33.4502206, -84.4802606)', '(33.2882621, -83.03613759999999)', '(32.7090798, -83.9744262)', '(33.9190653, -84.01674229999999)', '(33.6752492, -84.0378894)', '(33.2636732, -84.3121264)', '(32.8024682, -83.1649001)']",28,False,False,False,False
