,Year,Average (Monthly) Percent Unemployed,county,state
3736,2014,4.975,Clark County,ID
3737,2015,3.758333333,Clark County,ID
3738,2010,12.49166667,Idaho County,ID
3739,2011,12.34166667,Idaho County,ID
3740,2012,10.98333333,Idaho County,ID
3741,2013,9.941666667,Idaho County,ID
3742,2014,7.575,Idaho County,ID
3743,2015,6.316666667,Idaho County,ID
3744,2010,6.641666667,Latah County,ID
3745,2011,6.291666667,Latah County,ID
3746,2012,5.841666667,Latah County,ID
3747,2013,4.933333333,Latah County,ID
3748,2014,4.075,Latah County,ID
3749,2015,3.5,Latah County,ID
3750,2010,10.29166667,Lemhi County,ID
3751,2011,10.34166667,Lemhi County,ID
3752,2012,9.916666667,Lemhi County,ID
3753,2013,9.416666667,Lemhi County,ID
3754,2014,7.908333333,Lemhi County,ID
3755,2015,7.141666667,Lemhi County,ID
3756,2010,6.708333333,Lewis County,ID
3757,2011,6.291666667,Lewis County,ID
3758,2012,5.416666667,Lewis County,ID
3759,2013,5.033333333,Lewis County,ID
3760,2014,4.608333333,Lewis County,ID
3761,2015,5.8,Lewis County,ID
3762,2010,9.266666667,Power County,ID
3763,2011,8.866666667,Power County,ID
3764,2012,7.891666667,Power County,ID
3765,2013,6.666666667,Power County,ID
3766,2014,4.958333333,Power County,ID
3767,2015,4.783333333,Power County,ID
3768,2010,7.975,Teton County,ID
3769,2011,6.85,Teton County,ID
3770,2012,5.983333333,Teton County,ID
3771,2013,5.091666667,Teton County,ID
3772,2014,4.116666667,Teton County,ID
3773,2015,3.541666667,Teton County,ID
3774,2010,9.55,Blaine County,ID
3775,2011,8.683333333,Blaine County,ID
3776,2012,7.025,Blaine County,ID
3777,2013,5.716666667,Blaine County,ID
3778,2014,4.5,Blaine County,ID
3779,2015,3.608333333,Blaine County,ID
3780,2010,12.9,Bonner County,ID
3781,2011,12.33333333,Bonner County,ID
3782,2012,10.475,Bonner County,ID
3783,2013,8.816666667,Bonner County,ID
3784,2014,7.2,Bonner County,ID
3785,2015,6.058333333,Bonner County,ID
3786,2010,11.24166667,Canyon County,ID
3787,2011,10.55833333,Canyon County,ID
3788,2012,9.116666667,Canyon County,ID
3789,2013,7.541666667,Canyon County,ID
3790,2014,5.983333333,Canyon County,ID
3791,2015,5.058333333,Canyon County,ID
3792,2010,7.116666667,Cassia County,ID
3793,2011,6.616666667,Cassia County,ID
3794,2012,5.833333333,Cassia County,ID
3795,2013,5.233333333,Cassia County,ID
3796,2014,4.3,Cassia County,ID
3797,2015,3.4,Cassia County,ID
3798,2010,8.35,Custer County,ID
3799,2011,8.125,Custer County,ID
3800,2012,8.283333333,Custer County,ID
3801,2013,8.55,Custer County,ID
3802,2014,7.091666667,Custer County,ID
3803,2015,6.891666667,Custer County,ID
3804,2010,8.666666667,Elmore County,ID
3805,2011,8.308333333,Elmore County,ID
3806,2012,7.533333333,Elmore County,ID
3807,2013,6.725,Elmore County,ID
3808,2014,5.283333333,Elmore County,ID
3809,2015,4.775,Elmore County,ID
3810,2010,8.041666667,Jerome County,ID
3811,2011,7.516666667,Jerome County,ID
3812,2012,6.416666667,Jerome County,ID
3813,2013,5.3,Jerome County,ID
3814,2014,4.033333333,Jerome County,ID
3815,2015,3.308333333,Jerome County,ID
3816,2010,6.025,Oneida County,ID
3817,2011,5.808333333,Oneida County,ID
3818,2012,4.925,Oneida County,ID
3819,2013,4.275,Oneida County,ID
3820,2014,3.866666667,Oneida County,ID
3821,2015,3.608333333,Oneida County,ID
3822,2010,4.25,Owyhee County,ID
3823,2011,4.35,Owyhee County,ID
3824,2012,4.175,Owyhee County,ID
3825,2013,3.866666667,Owyhee County,ID
3826,2014,3.733333333,Owyhee County,ID
3827,2015,4.891666667,Owyhee County,ID
3828,2010,15.85,Valley County,ID
3829,2011,14.20833333,Valley County,ID
3830,2012,11.33333333,Valley County,ID
3831,2013,10.275,Valley County,ID
3832,2014,7.65,Valley County,ID
3833,2015,6.308333333,Valley County,ID
3834,2010,7.991666667,Bannock County,ID
3835,2011,7.516666667,Bannock County,ID
3836,2012,6.925,Bannock County,ID
3837,2013,5.85,Bannock County,ID
3838,2014,4.583333333,Bannock County,ID
3839,2015,4.05,Bannock County,ID
3840,2010,13.6,Benewah County,ID
3841,2011,13.26666667,Benewah County,ID
3842,2012,12.15,Benewah County,ID
3843,2013,10.075,Benewah County,ID
3844,2014,8.125,Benewah County,ID
3845,2015,6.675,Benewah County,ID
3846,2010,7.225,Bingham County,ID
3847,2011,7.15,Bingham County,ID
3848,2012,6.408333333,Bingham County,ID
3849,2013,5.866666667,Bingham County,ID
3850,2014,4.566666667,Bingham County,ID
3851,2015,4.15,Bingham County,ID
3852,2010,7.825,Caribou County,ID
3853,2011,7.508333333,Caribou County,ID
3854,2012,6.125,Caribou County,ID
3855,2013,5.291666667,Caribou County,ID
3856,2014,4.275,Caribou County,ID
3857,2015,4.15,Caribou County,ID
3858,2010,8.675,Fremont County,ID
3859,2011,7.775,Fremont County,ID
3860,2012,6.208333333,Fremont County,ID
3861,2013,5.275,Fremont County,ID
3862,2014,4.116666667,Fremont County,ID
3863,2015,3.7,Fremont County,ID
3864,2010,7.466666667,Gooding County,ID
3865,2011,6.758333333,Gooding County,ID
3866,2012,5.716666667,Gooding County,ID
3867,2013,4.908333333,Gooding County,ID
3868,2014,4.033333333,Gooding County,ID
3869,2015,3.5,Gooding County,ID
3870,2010,13.05,Lincoln County,ID
3871,2011,11.93333333,Lincoln County,ID
3872,2012,9.2,Lincoln County,ID
3873,2013,7.608333333,Lincoln County,ID
3874,2014,5.791666667,Lincoln County,ID
3875,2015,4.575,Lincoln County,ID
3876,2010,5.366666667,Madison County,ID
3877,2011,5.283333333,Madison County,ID
3878,2012,4.583333333,Madison County,ID
3879,2013,4.091666667,Madison County,ID
3880,2014,3.241666667,Madison County,ID
3881,2015,2.725,Madison County,ID
3882,2010,9.683333333,Payette County,ID
3883,2011,9,Payette County,ID
3884,2012,7.875,Payette County,ID
3885,2013,6.5,Payette County,ID
3886,2014,5.691666667,Payette County,ID
3887,2015,5.016666667,Payette County,ID
3888,2010,13.46666667,Boundary County,ID
3889,2011,11.60833333,Boundary County,ID
3890,2012,9.458333333,Boundary County,ID
3891,2013,7.983333333,Boundary County,ID
3892,2014,6.1,Boundary County,ID
3893,2015,5.6,Boundary County,ID
3894,2010,5.283333333,Franklin County,ID
3895,2011,5.416666667,Franklin County,ID
3896,2012,4.616666667,Franklin County,ID
3897,2013,4.158333333,Franklin County,ID
3898,2014,3.4,Franklin County,ID
3899,2015,3.166666667,Franklin County,ID
3900,2010,10.91666667,Kootenai County,ID
3901,2011,10.15,Kootenai County,ID
3902,2012,8.775,Kootenai County,ID
3903,2013,7.308333333,Kootenai County,ID
3904,2014,5.85,Kootenai County,ID
3905,2015,5.133333333,Kootenai County,ID
3906,2010,7.433333333,Minidoka County,ID
3907,2011,6.975,Minidoka County,ID
3908,2012,6.1,Minidoka County,ID
3909,2013,5.55,Minidoka County,ID
3910,2014,4.608333333,Minidoka County,ID
3911,2015,3.716666667,Minidoka County,ID
3912,2010,15.875,Shoshone County,ID
3913,2011,14.5,Shoshone County,ID
3914,2012,13.08333333,Shoshone County,ID
3915,2013,12.1,Shoshone County,ID
3916,2014,9.983333333,Shoshone County,ID
3917,2015,7.875,Shoshone County,ID
3918,2010,7.416666667,Bear Lake County,ID
3919,2011,6.116666667,Bear Lake County,ID
3920,2012,5.6,Bear Lake County,ID
3921,2013,5.166666667,Bear Lake County,ID
3922,2014,4.558333333,Bear Lake County,ID
3923,2015,4.55,Bear Lake County,ID
3924,2010,7.083333333,Jefferson County,ID
3925,2011,6.95,Jefferson County,ID
3926,2012,6.158333333,Jefferson County,ID
3927,2013,5.133333333,Jefferson County,ID
3928,2014,4.058333333,Jefferson County,ID
3929,2015,3.458333333,Jefferson County,ID
3930,2010,6.7,Nez Perce County,ID
3931,2011,6.366666667,Nez Perce County,ID
3932,2012,5.758333333,Nez Perce County,ID
3933,2013,4.966666667,Nez Perce County,ID
3934,2014,4.091666667,Nez Perce County,ID
3935,2015,3.758333333,Nez Perce County,ID
3936,2010,6.95,Bonneville County,ID
3937,2011,6.941666667,Bonneville County,ID
3938,2012,6.325,Bonneville County,ID
3939,2013,5.433333333,Bonneville County,ID
3940,2014,4.225,Bonneville County,ID
3941,2015,3.525,Bonneville County,ID
3942,2010,14.61666667,Clearwater County,ID
3943,2011,13.675,Clearwater County,ID
3944,2012,12.575,Clearwater County,ID
3945,2013,11.25833333,Clearwater County,ID
3946,2014,9.325,Clearwater County,ID
3947,2015,8.158333333,Clearwater County,ID
3948,2010,8.525,Twin Falls County,ID
3949,2011,7.883333333,Twin Falls County,ID
3950,2012,6.858333333,Twin Falls County,ID
3951,2013,5.658333333,Twin Falls County,ID
3952,2014,4.35,Twin Falls County,ID
3953,2015,3.683333333,Twin Falls County,ID
3954,2010,10.33333333,Washington County,ID
3955,2011,9.758333333,Washington County,ID
3956,2012,8.433333333,Washington County,ID
3957,2013,7.366666667,Washington County,ID
3958,2014,6.708333333,Washington County,ID
3959,2015,5.908333333,Washington County,ID
3960,2010,10.01666667,Lee County,IL
3961,2011,9.066666667,Lee County,IL
3962,2012,8.283333333,Lee County,IL
3963,2013,8.008333333,Lee County,IL
3964,2014,6.25,Lee County,IL
3965,2015,5.333333333,Lee County,IL
3966,2010,10.05,Bond County,IL
3967,2011,9.316666667,Bond County,IL
3968,2012,8.941666667,Bond County,IL
3969,2013,8.666666667,Bond County,IL
3970,2014,6.55,Bond County,IL
3971,2015,5.3,Bond County,IL
3972,2010,8.275,Cass County,IL
3973,2011,8.166666667,Cass County,IL
3974,2012,8.416666667,Cass County,IL
3975,2013,9.1,Cass County,IL
3976,2014,6.891666667,Cass County,IL
3977,2015,5.641666667,Cass County,IL
3978,2010,11.3,Clay County,IL
3979,2011,10.59166667,Clay County,IL
3980,2012,9.625,Clay County,IL
3981,2013,9.9,Clay County,IL
3982,2014,7.983333333,Clay County,IL
3983,2015,7.091666667,Clay County,IL
3984,2010,10.875,Cook County,IL
3985,2011,10.44166667,Cook County,IL
3986,2012,9.625,Cook County,IL
3987,2013,9.625,Cook County,IL
3988,2014,7.458333333,Cook County,IL
3989,2015,6.208333333,Cook County,IL
3990,2010,9.466666667,Ford County,IL
3991,2011,8.708333333,Ford County,IL
3992,2012,7.641666667,Ford County,IL
3993,2013,7.625,Ford County,IL
3994,2014,6.075,Ford County,IL
3995,2015,5.408333333,Ford County,IL
3996,2010,11.025,Kane County,IL
3997,2011,9.758333333,Kane County,IL
3998,2012,8.9,Kane County,IL
3999,2013,8.7,Kane County,IL
4000,2014,6.875,Kane County,IL
4001,2015,5.766666667,Kane County,IL
4002,2010,9.558333333,Knox County,IL
4003,2011,8.8,Knox County,IL
4004,2012,8.316666667,Knox County,IL
4005,2013,8.858333333,Knox County,IL
4006,2014,6.916666667,Knox County,IL
4007,2015,6.091666667,Knox County,IL
4008,2010,9.841666667,Lake County,IL
4009,2011,8.833333333,Lake County,IL
4010,2012,8.075,Lake County,IL
4011,2013,7.908333333,Lake County,IL
4012,2014,6.433333333,Lake County,IL
4013,2015,5.383333333,Lake County,IL
4014,2010,12.4,Ogle County,IL
4015,2011,11.43333333,Ogle County,IL
4016,2012,10.075,Ogle County,IL
4017,2013,9.858333333,Ogle County,IL
4018,2014,7.4,Ogle County,IL
4019,2015,6.166666667,Ogle County,IL
4020,2010,8.966666667,Pike County,IL
4021,2011,8.041666667,Pike County,IL
4022,2012,7.525,Pike County,IL
4023,2013,7.533333333,Pike County,IL
4024,2014,5.75,Pike County,IL
4025,2015,5.183333333,Pike County,IL
4026,2010,9.491666667,Pope County,IL
4027,2011,8.858333333,Pope County,IL
4028,2012,8.558333333,Pope County,IL
4029,2013,9.233333333,Pope County,IL
4030,2014,8.275,Pope County,IL
4031,2015,6.991666667,Pope County,IL
4032,2010,11.08333333,Will County,IL
4033,2011,10.63333333,Will County,IL
4034,2012,9.775,Will County,IL
4035,2013,9.775,Will County,IL
4036,2014,7.575,Will County,IL
4037,2015,6.166666667,Will County,IL
4038,2010,7.733333333,Adams County,IL
4039,2011,6.9,Adams County,IL
4040,2012,6.508333333,Adams County,IL
4041,2013,6.766666667,Adams County,IL
4042,2014,5.341666667,Adams County,IL
4043,2015,5,Adams County,IL
4044,2010,13.78333333,Boone County,IL
4045,2011,11.76666667,Boone County,IL
4046,2012,10.39166667,Boone County,IL
4047,2013,10.11666667,Boone County,IL
4048,2014,7.791666667,Boone County,IL
4049,2015,6.508333333,Boone County,IL
4050,2010,6.983333333,Brown County,IL
4051,2011,6.216666667,Brown County,IL
4052,2012,5.95,Brown County,IL
4053,2013,6.175,Brown County,IL
4054,2014,4.2,Brown County,IL
4055,2015,3.558333333,Brown County,IL
4056,2010,11.68333333,Clark County,IL
4057,2011,10.35,Clark County,IL
4058,2012,9.591666667,Clark County,IL
4059,2013,9.3,Clark County,IL
4060,2014,7.133333333,Clark County,IL
4061,2015,6.225,Clark County,IL
4062,2010,9.816666667,Coles County,IL
4063,2011,9.408333333,Coles County,IL
4064,2012,8.783333333,Coles County,IL
4065,2013,8.783333333,Coles County,IL
4066,2014,6.775,Coles County,IL
4067,2015,6.066666667,Coles County,IL
4068,2010,11.19166667,Edgar County,IL
4069,2011,10.475,Edgar County,IL
4070,2012,9.666666667,Edgar County,IL
4071,2013,9.441666667,Edgar County,IL
4072,2014,7.166666667,Edgar County,IL
4073,2015,6.258333333,Edgar County,IL
4074,2010,9.125,Henry County,IL
4075,2011,7.841666667,Henry County,IL
4076,2012,7.416666667,Henry County,IL
4077,2013,7.758333333,Henry County,IL
4078,2014,6.658333333,Henry County,IL
4079,2015,6.141666667,Henry County,IL
4080,2010,8.683333333,Logan County,IL
4081,2011,7.766666667,Logan County,IL
4082,2012,7.475,Logan County,IL
4083,2013,8.083333333,Logan County,IL
4084,2014,6.408333333,Logan County,IL
4085,2015,5.408333333,Logan County,IL
4086,2010,11.16666667,Macon County,IL
4087,2011,9.983333333,Macon County,IL
4088,2012,9.933333333,Macon County,IL
4089,2013,11.34166667,Macon County,IL
4090,2014,8.533333333,Macon County,IL
4091,2015,7.008333333,Macon County,IL
4092,2010,12.20833333,Mason County,IL
4093,2011,10.625,Mason County,IL
4094,2012,10.00833333,Mason County,IL
4095,2013,10.925,Mason County,IL
4096,2014,8.6,Mason County,IL
4097,2015,7.116666667,Mason County,IL
4098,2010,11.05833333,Perry County,IL
4099,2011,10.19166667,Perry County,IL
4100,2012,10.60833333,Perry County,IL
4101,2013,11.04166667,Perry County,IL
4102,2014,8.441666667,Perry County,IL
4103,2015,7.141666667,Perry County,IL
4104,2010,7.841666667,Piatt County,IL
4105,2011,7.091666667,Piatt County,IL
4106,2012,6.958333333,Piatt County,IL
4107,2013,7.166666667,Piatt County,IL
4108,2014,5.675,Piatt County,IL
4109,2015,5.033333333,Piatt County,IL
4110,2010,8.741666667,Scott County,IL
4111,2011,8.241666667,Scott County,IL
4112,2012,8.65,Scott County,IL
4113,2013,8.858333333,Scott County,IL
4114,2014,6.883333333,Scott County,IL
4115,2015,5.841666667,Scott County,IL
4116,2010,9.758333333,Stark County,IL
4117,2011,8.741666667,Stark County,IL
4118,2012,8.1,Stark County,IL
4119,2013,9.541666667,Stark County,IL
4120,2014,7.533333333,Stark County,IL
4121,2015,6.641666667,Stark County,IL
4122,2010,11.96666667,Union County,IL
4123,2011,11.625,Union County,IL
4124,2012,10.925,Union County,IL
4125,2013,11.21666667,Union County,IL
4126,2014,8.783333333,Union County,IL
4127,2015,7.683333333,Union County,IL
4128,2010,8.916666667,Wayne County,IL
4129,2011,8.008333333,Wayne County,IL
4130,2012,7.675,Wayne County,IL
4131,2013,7.783333333,Wayne County,IL
4132,2014,6.608333333,Wayne County,IL
4133,2015,6.891666667,Wayne County,IL
4134,2010,8.508333333,White County,IL
4135,2011,7.883333333,White County,IL
4136,2012,7.558333333,White County,IL
4137,2013,7.683333333,White County,IL
4138,2014,5.85,White County,IL
4139,2015,5.733333333,White County,IL
4140,2010,10.80833333,Bureau County,IL
4141,2011,9.883333333,Bureau County,IL
4142,2012,9.183333333,Bureau County,IL
4143,2013,9.158333333,Bureau County,IL
4144,2014,7.308333333,Bureau County,IL
4145,2015,6.45,Bureau County,IL
4146,2010,10.50833333,DeKalb County,IL
4147,2011,9.308333333,DeKalb County,IL
4148,2012,8.441666667,DeKalb County,IL
4149,2013,8.191666667,DeKalb County,IL
4150,2014,6.558333333,DeKalb County,IL
4151,2015,5.583333333,DeKalb County,IL
4152,2010,8.85,DuPage County,IL
4153,2011,8.191666667,DuPage County,IL
4154,2012,7.5,DuPage County,IL
4155,2013,7.35,DuPage County,IL
4156,2014,5.733333333,DuPage County,IL
4157,2015,4.741666667,DuPage County,IL
4158,2010,11.69166667,Fulton County,IL
4159,2011,10.48333333,Fulton County,IL
4160,2012,9.875,Fulton County,IL
4161,2013,10.925,Fulton County,IL
4162,2014,8.566666667,Fulton County,IL
4163,2015,7.616666667,Fulton County,IL
4164,2010,9.283333333,Greene County,IL
4165,2011,8.733333333,Greene County,IL
4166,2012,8.425,Greene County,IL
4167,2013,8.641666667,Greene County,IL
4168,2014,6.766666667,Greene County,IL
4169,2015,6.125,Greene County,IL
4170,2010,13.26666667,Grundy County,IL
4171,2011,12.75,Grundy County,IL
4172,2012,11.46666667,Grundy County,IL
4173,2013,11.6,Grundy County,IL
4174,2014,8.7,Grundy County,IL
4175,2015,6.9,Grundy County,IL
4176,2010,10.80833333,Hardin County,IL
4177,2011,10.79166667,Hardin County,IL
4178,2012,10.5,Hardin County,IL
4179,2013,11.34166667,Hardin County,IL
4180,2014,8.708333333,Hardin County,IL
4181,2015,8.483333333,Hardin County,IL
4182,2010,8.9,Jasper County,IL
4183,2011,7.825,Jasper County,IL
4184,2012,7.633333333,Jasper County,IL
4185,2013,7.925,Jasper County,IL
4186,2014,6.383333333,Jasper County,IL
4187,2015,6.233333333,Jasper County,IL
4188,2010,9.158333333,Jersey County,IL
4189,2011,8.933333333,Jersey County,IL
4190,2012,9.008333333,Jersey County,IL
4191,2013,8.966666667,Jersey County,IL
4192,2014,7.158333333,Jersey County,IL
4193,2015,6.341666667,Jersey County,IL
4194,2010,7.075,McLean County,IL
4195,2011,6.616666667,McLean County,IL
4196,2012,6.391666667,McLean County,IL
4197,2013,6.6,McLean County,IL
4198,2014,5.475,McLean County,IL
4199,2015,4.791666667,McLean County,IL
4200,2010,10.81666667,Marion County,IL
4201,2011,10.00833333,Marion County,IL
4202,2012,9.766666667,Marion County,IL
4203,2013,10.05833333,Marion County,IL
4204,2014,7.608333333,Marion County,IL
4205,2015,6.766666667,Marion County,IL
4206,2010,9.508333333,Massac County,IL
4207,2011,8.825,Massac County,IL
4208,2012,9.583333333,Massac County,IL
4209,2013,9.783333333,Massac County,IL
4210,2014,7.958333333,Massac County,IL
4211,2015,7.258333333,Massac County,IL
4212,2010,7.533333333,Menard County,IL
4213,2011,7.191666667,Menard County,IL
4214,2012,7.008333333,Menard County,IL
4215,2013,7.05,Menard County,IL
4216,2014,5.633333333,Menard County,IL
4217,2015,4.716666667,Menard County,IL
4218,2010,9.958333333,Mercer County,IL
4219,2011,8.341666667,Mercer County,IL
4220,2012,7.725,Mercer County,IL
4221,2013,7.85,Mercer County,IL
4222,2014,7,Mercer County,IL
4223,2015,6.266666667,Mercer County,IL
4224,2010,7.308333333,Monroe County,IL
4225,2011,6.733333333,Monroe County,IL
4226,2012,6.725,Monroe County,IL
4227,2013,6.683333333,Monroe County,IL
4228,2014,5.366666667,Monroe County,IL
4229,2015,4.4,Monroe County,IL
4230,2010,8.416666667,Morgan County,IL
4231,2011,8.025,Morgan County,IL
4232,2012,7.683333333,Morgan County,IL
4233,2013,7.85,Morgan County,IL
4234,2014,5.958333333,Morgan County,IL
4235,2015,5.008333333,Morgan County,IL
4236,2010,10.51666667,Peoria County,IL
4237,2011,9.225,Peoria County,IL
4238,2012,8.358333333,Peoria County,IL
4239,2013,9.633333333,Peoria County,IL
4240,2014,7.658333333,Peoria County,IL
4241,2015,6.85,Peoria County,IL
4242,2010,12.025,Putnam County,IL
4243,2011,10.25833333,Putnam County,IL
4244,2012,9.3,Putnam County,IL
4245,2013,9.933333333,Putnam County,IL
4246,2014,7.641666667,Putnam County,IL
4247,2015,6.166666667,Putnam County,IL
4248,2010,10.18333333,Saline County,IL
4249,2011,9.5,Saline County,IL
4250,2012,9.075,Saline County,IL
4251,2013,10.575,Saline County,IL
4252,2014,8.191666667,Saline County,IL
4253,2015,7.733333333,Saline County,IL
4254,2010,9.733333333,Shelby County,IL
4255,2011,9.091666667,Shelby County,IL
4256,2012,8.566666667,Shelby County,IL
4257,2013,8.741666667,Shelby County,IL
4258,2014,6.758333333,Shelby County,IL
4259,2015,5.883333333,Shelby County,IL
4260,2010,9.783333333,Wabash County,IL
4261,2011,8.883333333,Wabash County,IL
4262,2012,7.916666667,Wabash County,IL
4263,2013,7.508333333,Wabash County,IL
4264,2014,5.983333333,Wabash County,IL
4265,2015,5.658333333,Wabash County,IL
4266,2010,7.766666667,Warren County,IL
4267,2011,7.216666667,Warren County,IL
4268,2012,7.091666667,Warren County,IL
4269,2013,7.341666667,Warren County,IL
4270,2014,5.825,Warren County,IL
4271,2015,5.216666667,Warren County,IL
4272,2010,10.03333333,Calhoun County,IL
4273,2011,9.725,Calhoun County,IL
4274,2012,9.991666667,Calhoun County,IL
4275,2013,9.816666667,Calhoun County,IL
4276,2014,8.191666667,Calhoun County,IL
4277,2015,6.725,Calhoun County,IL
4278,2010,10.425,Carroll County,IL
4279,2011,8.991666667,Carroll County,IL
4280,2012,8.175,Carroll County,IL
4281,2013,7.983333333,Carroll County,IL
4282,2014,6.4,Carroll County,IL
4283,2015,5.483333333,Carroll County,IL
4284,2010,7.3,Clinton County,IL
4285,2011,6.725,Clinton County,IL
4286,2012,6.65,Clinton County,IL
4287,2013,6.783333333,Clinton County,IL
4288,2014,5.433333333,Clinton County,IL
4289,2015,4.516666667,Clinton County,IL
4290,2010,8.725,De Witt County,IL
4291,2011,8.5,De Witt County,IL
4292,2012,8.075,De Witt County,IL
4293,2013,8.333333333,De Witt County,IL
4294,2014,6.6,De Witt County,IL
4295,2015,5.558333333,De Witt County,IL
4296,2010,8.791666667,Douglas County,IL
4297,2011,8.133333333,Douglas County,IL
4298,2012,7.233333333,Douglas County,IL
4299,2013,6.975,Douglas County,IL
4300,2014,5.875,Douglas County,IL
4301,2015,4.925,Douglas County,IL
4302,2010,8.758333333,Edwards County,IL
4303,2011,8.133333333,Edwards County,IL
4304,2012,7.808333333,Edwards County,IL
4305,2013,8.566666667,Edwards County,IL
4306,2014,6.75,Edwards County,IL
4307,2015,5.958333333,Edwards County,IL
4308,2010,10.08333333,Fayette County,IL
4309,2011,9.233333333,Fayette County,IL
4310,2012,8.966666667,Fayette County,IL
4311,2013,9.225,Fayette County,IL
4312,2014,7.591666667,Fayette County,IL
4313,2015,6.566666667,Fayette County,IL
4314,2010,10.58333333,Hancock County,IL
4315,2011,9.166666667,Hancock County,IL
4316,2012,8.283333333,Hancock County,IL
4317,2013,8.475,Hancock County,IL
4318,2014,6.491666667,Hancock County,IL
4319,2015,6.183333333,Hancock County,IL
4320,2010,8.225,Jackson County,IL
4321,2011,7.975,Jackson County,IL
4322,2012,7.816666667,Jackson County,IL
4323,2013,7.95,Jackson County,IL
4324,2014,6.416666667,Jackson County,IL
4325,2015,5.55,Jackson County,IL
4326,2010,12.49166667,Johnson County,IL
4327,2011,11.7,Johnson County,IL
4328,2012,11.55833333,Johnson County,IL
4329,2013,12.20833333,Johnson County,IL
4330,2014,9.475,Johnson County,IL
4331,2015,8.533333333,Johnson County,IL
4332,2010,10.11666667,Kendall County,IL
4333,2011,9.325,Kendall County,IL
4334,2012,8.366666667,Kendall County,IL
4335,2013,8.375,Kendall County,IL
4336,2014,6.425,Kendall County,IL
4337,2015,5.166666667,Kendall County,IL
4338,2010,12,LaSalle County,IL
4339,2011,10.64166667,LaSalle County,IL
4340,2012,10.025,LaSalle County,IL
4341,2013,10.33333333,LaSalle County,IL
4342,2014,8.141666667,LaSalle County,IL
4343,2015,6.975,LaSalle County,IL
4344,2010,10.54166667,McHenry County,IL
4345,2011,9.866666667,McHenry County,IL
4346,2012,8.966666667,McHenry County,IL
4347,2013,8.633333333,McHenry County,IL
4348,2014,6.575,McHenry County,IL
4349,2015,5.425,McHenry County,IL
4350,2010,9.808333333,Madison County,IL
4351,2011,8.95,Madison County,IL
4352,2012,8.791666667,Madison County,IL
4353,2013,8.883333333,Madison County,IL
4354,2014,7.033333333,Madison County,IL
4355,2015,6.008333333,Madison County,IL
4356,2010,12.425,Pulaski County,IL
4357,2011,11.98333333,Pulaski County,IL
4358,2012,11.38333333,Pulaski County,IL
4359,2013,12.525,Pulaski County,IL
4360,2014,10.39166667,Pulaski County,IL
4361,2015,8.858333333,Pulaski County,IL
4362,2010,8.583333333,Crawford County,IL
4363,2011,7.3,Crawford County,IL
4364,2012,7.691666667,Crawford County,IL
4365,2013,8.3,Crawford County,IL
4366,2014,6.466666667,Crawford County,IL
4367,2015,5.925,Crawford County,IL
4368,2010,12.325,Franklin County,IL
4369,2011,11.16666667,Franklin County,IL
4370,2012,10.60833333,Franklin County,IL
4371,2013,11.89166667,Franklin County,IL
4372,2014,9.225,Franklin County,IL
4373,2015,8.1,Franklin County,IL
4374,2010,9.6,Gallatin County,IL
4375,2011,8.866666667,Gallatin County,IL
4376,2012,8.416666667,Gallatin County,IL
4377,2013,9.441666667,Gallatin County,IL
4378,2014,7.083333333,Gallatin County,IL
4379,2015,6.666666667,Gallatin County,IL
4380,2010,9.425,Hamilton County,IL
4381,2011,8.641666667,Hamilton County,IL
4382,2012,7.958333333,Hamilton County,IL
4383,2013,7.791666667,Hamilton County,IL
4384,2014,5.941666667,Hamilton County,IL
4385,2015,5.516666667,Hamilton County,IL
4386,2010,10.06666667,Iroquois County,IL
4387,2011,9.183333333,Iroquois County,IL
4388,2012,8.508333333,Iroquois County,IL
4389,2013,8.458333333,Iroquois County,IL
4390,2014,6.383333333,Iroquois County,IL
4391,2015,5.658333333,Iroquois County,IL
4392,2010,12.30833333,Kankakee County,IL
4393,2011,11.41666667,Kankakee County,IL
4394,2012,10.35833333,Kankakee County,IL
4395,2013,10.34166667,Kankakee County,IL
4396,2014,7.95,Kankakee County,IL
4397,2015,6.733333333,Kankakee County,IL
4398,2010,10.725,Lawrence County,IL
4399,2011,10.61666667,Lawrence County,IL
4400,2012,10.175,Lawrence County,IL
4401,2013,10.225,Lawrence County,IL
4402,2014,7.758333333,Lawrence County,IL
4403,2015,7.1,Lawrence County,IL
4404,2010,10.31666667,Macoupin County,IL
4405,2011,9.7,Macoupin County,IL
4406,2012,9.466666667,Macoupin County,IL
4407,2013,9.441666667,Macoupin County,IL
4408,2014,7.458333333,Macoupin County,IL
4409,2015,6.325,Macoupin County,IL
4410,2010,10.24166667,Marshall County,IL
4411,2011,8.866666667,Marshall County,IL
4412,2012,8.3,Marshall County,IL
4413,2013,9.116666667,Marshall County,IL
4414,2014,7.008333333,Marshall County,IL
4415,2015,6.616666667,Marshall County,IL
4416,2010,8.558333333,Moultrie County,IL
4417,2011,7.608333333,Moultrie County,IL
4418,2012,7.133333333,Moultrie County,IL
4419,2013,7.191666667,Moultrie County,IL
4420,2014,5.433333333,Moultrie County,IL
4421,2015,4.35,Moultrie County,IL
4422,2010,8.775,Randolph County,IL
4423,2011,8.241666667,Randolph County,IL
4424,2012,8.375,Randolph County,IL
4425,2013,8.366666667,Randolph County,IL
4426,2014,6.6,Randolph County,IL
4427,2015,5.433333333,Randolph County,IL
4428,2010,8.925,Richland County,IL
