,Year,Average Total Employment,county,state
8900,2012,3170.25,Humphreys County,MS
8901,2013,3052.416667,Humphreys County,MS
8902,2014,2562.083333,Humphreys County,MS
8903,2015,2467.25,Humphreys County,MS
8904,2010,524.5,Issaquena County,MS
8905,2011,516.5,Issaquena County,MS
8906,2012,470.8333333,Issaquena County,MS
8907,2013,446,Issaquena County,MS
8908,2014,426.5833333,Issaquena County,MS
8909,2015,418.9166667,Issaquena County,MS
8910,2010,2471.166667,Jefferson County,MS
8911,2011,2538,Jefferson County,MS
8912,2012,2516.916667,Jefferson County,MS
8913,2013,2479.666667,Jefferson County,MS
8914,2014,2404.333333,Jefferson County,MS
8915,2015,2277.583333,Jefferson County,MS
8916,2010,21649.25,Lafayette County,MS
8917,2011,22930.66667,Lafayette County,MS
8918,2012,23351.33333,Lafayette County,MS
8919,2013,23037.66667,Lafayette County,MS
8920,2014,23278.66667,Lafayette County,MS
8921,2015,24446.91667,Lafayette County,MS
8922,2010,21697.41667,Oktibbeha County,MS
8923,2011,22768.75,Oktibbeha County,MS
8924,2012,22783.75,Oktibbeha County,MS
8925,2013,22212.41667,Oktibbeha County,MS
8926,2014,22080.91667,Oktibbeha County,MS
8927,2015,22499.5,Oktibbeha County,MS
8928,2010,9868.166667,Sunflower County,MS
8929,2011,9848.25,Sunflower County,MS
8930,2012,9485,Sunflower County,MS
8931,2013,8994.166667,Sunflower County,MS
8932,2014,8660.333333,Sunflower County,MS
8933,2015,8474.75,Sunflower County,MS
8934,2010,3443.666667,Wilkinson County,MS
8935,2011,3456.5,Wilkinson County,MS
8936,2012,3263.5,Wilkinson County,MS
8937,2013,2982.833333,Wilkinson County,MS
8938,2014,2834.916667,Wilkinson County,MS
8939,2015,2882.166667,Wilkinson County,MS
8940,2010,5205.416667,Yalobusha County,MS
8941,2011,5371.5,Yalobusha County,MS
8942,2012,5433.083333,Yalobusha County,MS
8943,2013,5023.666667,Yalobusha County,MS
8944,2014,4922.25,Yalobusha County,MS
8945,2015,4927,Yalobusha County,MS
8946,2010,33062.41667,Lauderdale County,MS
8947,2011,34382.33333,Lauderdale County,MS
8948,2012,34573.5,Lauderdale County,MS
8949,2013,34590.41667,Lauderdale County,MS
8950,2014,32578.16667,Lauderdale County,MS
8951,2015,31660.91667,Lauderdale County,MS
8952,2010,4675,Montgomery County,MS
8953,2011,4676.75,Montgomery County,MS
8954,2012,4543.583333,Montgomery County,MS
8955,2013,4374.583333,Montgomery County,MS
8956,2014,4194,Montgomery County,MS
8957,2015,4199.083333,Montgomery County,MS
8958,2010,7812.5,Tishomingo County,MS
8959,2011,8069.583333,Tishomingo County,MS
8960,2012,7889.583333,Tishomingo County,MS
8961,2013,7694.5,Tishomingo County,MS
8962,2014,7592,Tishomingo County,MS
8963,2015,8011.833333,Tishomingo County,MS
8964,2010,20949.75,Washington County,MS
8965,2011,21178.91667,Washington County,MS
8966,2012,20026.5,Washington County,MS
8967,2013,19116.83333,Washington County,MS
8968,2014,18363.41667,Washington County,MS
8969,2015,18043.25,Washington County,MS
8970,2010,23422.58333,Pearl River County,MS
8971,2011,24313.33333,Pearl River County,MS
8972,2012,23776.25,Pearl River County,MS
8973,2013,22827.66667,Pearl River County,MS
8974,2014,22335,Pearl River County,MS
8975,2015,22867.75,Pearl River County,MS
8976,2010,5884.666667,Tallahatchie County,MS
8977,2011,6077.5,Tallahatchie County,MS
8978,2012,5774.833333,Tallahatchie County,MS
8979,2013,5808.75,Tallahatchie County,MS
8980,2014,5840.25,Tallahatchie County,MS
8981,2015,5809.75,Tallahatchie County,MS
8982,2010,4608.916667,Jefferson Davis County,MS
8983,2011,4636.25,Jefferson Davis County,MS
8984,2012,4458.666667,Jefferson Davis County,MS
8985,2013,4217.916667,Jefferson Davis County,MS
8986,2014,4118.75,Jefferson Davis County,MS
8987,2015,4128.25,Jefferson Davis County,MS
8988,2010,7982.083333,Hill County,MT
8989,2011,7986.333333,Hill County,MT
8990,2012,8034.083333,Hill County,MT
8991,2013,7938,Hill County,MT
8992,2014,7815.916667,Hill County,MT
8993,2015,7782.833333,Hill County,MT
8994,2010,12643.66667,Lake County,MT
8995,2011,12552.33333,Lake County,MT
8996,2012,12436.66667,Lake County,MT
8997,2013,12370.25,Lake County,MT
8998,2014,12462,Lake County,MT
8999,2015,12676.75,Lake County,MT
9000,2010,7890.083333,Park County,MT
9001,2011,7883.166667,Park County,MT
9002,2012,8025.083333,Park County,MT
9003,2013,8010.583333,Park County,MT
9004,2014,8051,Park County,MT
9005,2015,8286.083333,Park County,MT
9006,2010,3029.833333,Teton County,MT
9007,2011,2940.75,Teton County,MT
9008,2012,2940.833333,Teton County,MT
9009,2013,2952.75,Teton County,MT
9010,2014,2875.5,Teton County,MT
9011,2015,2885.166667,Teton County,MT
9012,2010,2447.833333,Toole County,MT
9013,2011,2386.666667,Toole County,MT
9014,2012,2500.083333,Toole County,MT
9015,2013,2386.833333,Toole County,MT
9016,2014,2342.75,Toole County,MT
9017,2015,2294.833333,Toole County,MT
9018,2010,2521.666667,Blaine County,MT
9019,2011,2485.75,Blaine County,MT
9020,2012,2486.25,Blaine County,MT
9021,2013,2471.416667,Blaine County,MT
9022,2014,2428.75,Blaine County,MT
9023,2015,2392.083333,Blaine County,MT
9024,2010,5329.666667,Carbon County,MT
9025,2011,5292,Carbon County,MT
9026,2012,5330.166667,Carbon County,MT
9027,2013,5395.166667,Carbon County,MT
9028,2014,5378.333333,Carbon County,MT
9029,2015,5417.166667,Carbon County,MT
9030,2010,724.6666667,Carter County,MT
9031,2011,684,Carter County,MT
9032,2012,685.5,Carter County,MT
9033,2013,672.1666667,Carter County,MT
9034,2014,685.9166667,Carter County,MT
9035,2015,684.25,Carter County,MT
9036,2010,6399.833333,Custer County,MT
9037,2011,6367.333333,Custer County,MT
9038,2012,6537.75,Custer County,MT
9039,2013,6631.833333,Custer County,MT
9040,2014,6578.25,Custer County,MT
9041,2015,6378.833333,Custer County,MT
9042,2010,4513.333333,Dawson County,MT
9043,2011,4546.75,Dawson County,MT
9044,2012,4647.5,Dawson County,MT
9045,2013,4806.583333,Dawson County,MT
9046,2014,4855.166667,Dawson County,MT
9047,2015,4813.083333,Dawson County,MT
9048,2010,1897.666667,Fallon County,MT
9049,2011,1952.583333,Fallon County,MT
9050,2012,2032.583333,Fallon County,MT
9051,2013,2037.916667,Fallon County,MT
9052,2014,2069.083333,Fallon County,MT
9053,2015,1967.166667,Fallon County,MT
9054,2010,6016.166667,Fergus County,MT
9055,2011,5906.75,Fergus County,MT
9056,2012,5855,Fergus County,MT
9057,2013,5870.166667,Fergus County,MT
9058,2014,5732.166667,Fergus County,MT
9059,2015,5692.25,Fergus County,MT
9060,2010,1130.583333,McCone County,MT
9061,2011,1098.333333,McCone County,MT
9062,2012,1088.75,McCone County,MT
9063,2013,1094.75,McCone County,MT
9064,2014,1087.25,McCone County,MT
9065,2015,1060.166667,McCone County,MT
9066,2010,2958.583333,Powell County,MT
9067,2011,2990,Powell County,MT
9068,2012,3015.083333,Powell County,MT
9069,2013,2946.25,Powell County,MT
9070,2014,2930.916667,Powell County,MT
9071,2015,2954.916667,Powell County,MT
9072,2010,3910,Valley County,MT
9073,2011,3936.583333,Valley County,MT
9074,2012,4023.5,Valley County,MT
9075,2013,4243.916667,Valley County,MT
9076,2014,4354.416667,Valley County,MT
9077,2015,4383.666667,Valley County,MT
9078,2010,529.0833333,Wibaux County,MT
9079,2011,525.3333333,Wibaux County,MT
9080,2012,560.75,Wibaux County,MT
9081,2013,557.75,Wibaux County,MT
9082,2014,549.25,Wibaux County,MT
9083,2015,544.75,Wibaux County,MT
9084,2010,38447.16667,Cascade County,MT
9085,2011,38333.33333,Cascade County,MT
9086,2012,38376.16667,Cascade County,MT
9087,2013,38386.66667,Cascade County,MT
9088,2014,38215.25,Cascade County,MT
9089,2015,38241.16667,Cascade County,MT
9090,2010,945.8333333,Daniels County,MT
9091,2011,943.3333333,Daniels County,MT
9092,2012,940.5833333,Daniels County,MT
9093,2013,932.0833333,Daniels County,MT
9094,2014,949.5833333,Daniels County,MT
9095,2015,942.3333333,Daniels County,MT
9096,2010,6260.083333,Glacier County,MT
9097,2011,6061.75,Glacier County,MT
9098,2012,6347.083333,Glacier County,MT
9099,2013,6340.5,Glacier County,MT
9100,2014,5945,Glacier County,MT
9101,2015,5845,Glacier County,MT
9102,2010,1458.083333,Granite County,MT
9103,2011,1456.916667,Granite County,MT
9104,2012,1472.833333,Granite County,MT
9105,2013,1501.666667,Granite County,MT
9106,2014,1523.75,Granite County,MT
9107,2015,1557.416667,Granite County,MT
9108,2010,1032.5,Liberty County,MT
9109,2011,1017.166667,Liberty County,MT
9110,2012,1035,Liberty County,MT
9111,2013,991.8333333,Liberty County,MT
9112,2014,971.4166667,Liberty County,MT
9113,2015,984,Liberty County,MT
9114,2010,8429.083333,Lincoln County,MT
9115,2011,8212.5,Lincoln County,MT
9116,2012,8210.583333,Lincoln County,MT
9117,2013,8122.333333,Lincoln County,MT
9118,2014,7905.666667,Lincoln County,MT
9119,2015,7795.666667,Lincoln County,MT
9120,2010,4155.75,Madison County,MT
9121,2011,4178.083333,Madison County,MT
9122,2012,4113,Madison County,MT
9123,2013,4160.416667,Madison County,MT
9124,2014,4222.166667,Madison County,MT
9125,2015,4280.083333,Madison County,MT
9126,2010,935.1666667,Meagher County,MT
9127,2011,910,Meagher County,MT
9128,2012,929.5833333,Meagher County,MT
9129,2013,931.5,Meagher County,MT
9130,2014,905.4166667,Meagher County,MT
9131,2015,935.0833333,Meagher County,MT
9132,2010,1788.916667,Mineral County,MT
9133,2011,1790.583333,Mineral County,MT
9134,2012,1767.583333,Mineral County,MT
9135,2013,1780.333333,Mineral County,MT
9136,2014,1743.583333,Mineral County,MT
9137,2015,1725.083333,Mineral County,MT
9138,2010,2952.75,Pondera County,MT
9139,2011,2929.5,Pondera County,MT
9140,2012,2939.75,Pondera County,MT
9141,2013,2900.416667,Pondera County,MT
9142,2014,2836.666667,Pondera County,MT
9143,2015,2861.333333,Pondera County,MT
9144,2010,567.0833333,Prairie County,MT
9145,2011,530.75,Prairie County,MT
9146,2012,528.0833333,Prairie County,MT
9147,2013,520.25,Prairie County,MT
9148,2014,513.3333333,Prairie County,MT
9149,2015,528.1666667,Prairie County,MT
9150,2010,18863.41667,Ravalli County,MT
9151,2011,18660.25,Ravalli County,MT
9152,2012,18716.25,Ravalli County,MT
9153,2013,18746.41667,Ravalli County,MT
9154,2014,18751.66667,Ravalli County,MT
9155,2015,19189.5,Ravalli County,MT
9156,2010,4357.833333,Rosebud County,MT
9157,2011,4444.5,Rosebud County,MT
9158,2012,4453.916667,Rosebud County,MT
9159,2013,4199.25,Rosebud County,MT
9160,2014,4166.5,Rosebud County,MT
9161,2015,4168.75,Rosebud County,MT
9162,2010,4999.333333,Sanders County,MT
9163,2011,4861,Sanders County,MT
9164,2012,4794.75,Sanders County,MT
9165,2013,4739,Sanders County,MT
9166,2014,4628.583333,Sanders County,MT
9167,2015,4695.583333,Sanders County,MT
9168,2010,5524.5,Big Horn County,MT
9169,2011,5638,Big Horn County,MT
9170,2012,5530.833333,Big Horn County,MT
9171,2013,5701.25,Big Horn County,MT
9172,2014,5583.583333,Big Horn County,MT
9173,2015,5541.666667,Big Horn County,MT
9174,2010,2737.75,Chouteau County,MT
9175,2011,2652.083333,Chouteau County,MT
9176,2012,2667.5,Chouteau County,MT
9177,2013,2586.083333,Chouteau County,MT
9178,2014,2586.25,Chouteau County,MT
9179,2015,2520,Chouteau County,MT
9180,2010,43786.25,Flathead County,MT
9181,2011,43590.41667,Flathead County,MT
9182,2012,43331.58333,Flathead County,MT
9183,2013,43843.33333,Flathead County,MT
9184,2014,43683.83333,Flathead County,MT
9185,2015,44752.5,Flathead County,MT
9186,2010,50768.08333,Gallatin County,MT
9187,2011,51558.58333,Gallatin County,MT
9188,2012,52487.41667,Gallatin County,MT
9189,2013,54783.08333,Gallatin County,MT
9190,2014,56763.16667,Gallatin County,MT
9191,2015,59359.66667,Gallatin County,MT
9192,2010,763.5833333,Garfield County,MT
9193,2011,776.4166667,Garfield County,MT
9194,2012,768.0833333,Garfield County,MT
9195,2013,761.0833333,Garfield County,MT
9196,2014,746.1666667,Garfield County,MT
9197,2015,760.8333333,Garfield County,MT
9198,2010,58535.91667,Missoula County,MT
9199,2011,58780.08333,Missoula County,MT
9200,2012,59138.58333,Missoula County,MT
9201,2013,59394.91667,Missoula County,MT
9202,2014,59837,Missoula County,MT
9203,2015,60421.5,Missoula County,MT
9204,2010,2208.166667,Phillips County,MT
9205,2011,2126.583333,Phillips County,MT
9206,2012,2059.333333,Phillips County,MT
9207,2013,2057.416667,Phillips County,MT
9208,2014,1989.5,Phillips County,MT
9209,2015,1973.75,Phillips County,MT
9210,2010,5762.583333,Richland County,MT
9211,2011,6150.666667,Richland County,MT
9212,2012,6713.416667,Richland County,MT
9213,2013,7070.083333,Richland County,MT
9214,2014,7311.25,Richland County,MT
9215,2015,6868.333333,Richland County,MT
9216,2010,1819.833333,Sheridan County,MT
9217,2011,1885.333333,Sheridan County,MT
9218,2012,2058.75,Sheridan County,MT
9219,2013,2171.416667,Sheridan County,MT
9220,2014,2125.083333,Sheridan County,MT
9221,2015,2071.416667,Sheridan County,MT
9222,2010,398,Treasure County,MT
9223,2011,377.5833333,Treasure County,MT
9224,2012,378.75,Treasure County,MT
9225,2013,354.75,Treasure County,MT
9226,2014,346.1666667,Treasure County,MT
9227,2015,356.75,Treasure County,MT
9228,2010,5628.333333,Jefferson County,MT
9229,2011,5619.666667,Jefferson County,MT
9230,2012,5601,Jefferson County,MT
9231,2013,5608,Jefferson County,MT
9232,2014,5619.416667,Jefferson County,MT
9233,2015,5573.833333,Jefferson County,MT
9234,2010,298.6666667,Petroleum County,MT
9235,2011,279.5833333,Petroleum County,MT
9236,2012,298.9166667,Petroleum County,MT
9237,2013,293.8333333,Petroleum County,MT
9238,2014,282.9166667,Petroleum County,MT
9239,2015,283.1666667,Petroleum County,MT
9240,2010,4582.75,Roosevelt County,MT
9241,2011,4629.5,Roosevelt County,MT
9242,2012,4820.916667,Roosevelt County,MT
9243,2013,4921.25,Roosevelt County,MT
9244,2014,4810.75,Roosevelt County,MT
9245,2015,4684.75,Roosevelt County,MT
9246,2010,860.8333333,Wheatland County,MT
9247,2011,837.1666667,Wheatland County,MT
9248,2012,838,Wheatland County,MT
9249,2013,824.5,Wheatland County,MT
9250,2014,780.8333333,Wheatland County,MT
9251,2015,786.3333333,Wheatland County,MT
9252,2010,5010.333333,Beaverhead County,MT
9253,2011,4933.083333,Beaverhead County,MT
9254,2012,4907.583333,Beaverhead County,MT
9255,2013,4840.333333,Beaverhead County,MT
9256,2014,4857.75,Beaverhead County,MT
9257,2015,4972.166667,Beaverhead County,MT
9258,2010,2507.25,Broadwater County,MT
9259,2011,2493.75,Broadwater County,MT
9260,2012,2480,Broadwater County,MT
9261,2013,2507.083333,Broadwater County,MT
9262,2014,2496.083333,Broadwater County,MT
9263,2015,2480.5,Broadwater County,MT
9264,2010,5181.416667,Deer Lodge County,MT
9265,2011,5156.083333,Deer Lodge County,MT
9266,2012,5189.25,Deer Lodge County,MT
9267,2013,5208.833333,Deer Lodge County,MT
9268,2014,5228.416667,Deer Lodge County,MT
9269,2015,5227.5,Deer Lodge County,MT
9270,2010,16952.08333,Silver Bow County,MT
9271,2011,16955.58333,Silver Bow County,MT
9272,2012,17214.83333,Silver Bow County,MT
9273,2013,17175.75,Silver Bow County,MT
9274,2014,16985.08333,Silver Bow County,MT
9275,2015,17103.66667,Silver Bow County,MT
9276,2010,4761.833333,Stillwater County,MT
9277,2011,4823.833333,Stillwater County,MT
9278,2012,4954.083333,Stillwater County,MT
9279,2013,5064.083333,Stillwater County,MT
9280,2014,4987.166667,Stillwater County,MT
9281,2015,4922.166667,Stillwater County,MT
9282,2010,2380.666667,Musselshell County,MT
9283,2011,2329,Musselshell County,MT
9284,2012,2416.083333,Musselshell County,MT
9285,2013,2375.25,Musselshell County,MT
9286,2014,2356.916667,Musselshell County,MT
9287,2015,2404.833333,Musselshell County,MT
9288,2010,1738.583333,Sweet Grass County,MT
9289,2011,1702.666667,Sweet Grass County,MT
9290,2012,1747,Sweet Grass County,MT
9291,2013,1768.416667,Sweet Grass County,MT
9292,2014,1778.083333,Sweet Grass County,MT
9293,2015,1786.083333,Sweet Grass County,MT
9294,2010,76414.5,Yellowstone County,MT
9295,2011,77146.75,Yellowstone County,MT
9296,2012,78680.41667,Yellowstone County,MT
9297,2013,79268,Yellowstone County,MT
9298,2014,79297.75,Yellowstone County,MT
9299,2015,80651.08333,Yellowstone County,MT
9300,2010,1009.166667,Judith Basin County,MT
9301,2011,967.9166667,Judith Basin County,MT
9302,2012,990.5,Judith Basin County,MT
9303,2013,978,Judith Basin County,MT
9304,2014,964.5833333,Judith Basin County,MT
9305,2015,992.4166667,Judith Basin County,MT
9306,2010,1044.333333,Powder River County,MT
9307,2011,1057.75,Powder River County,MT
9308,2012,1077.333333,Powder River County,MT
9309,2013,1124.25,Powder River County,MT
9310,2014,1073.25,Powder River County,MT
9311,2015,1054.416667,Powder River County,MT
9312,2010,418.5833333,Golden Valley County,MT
9313,2011,391.4166667,Golden Valley County,MT
9314,2012,390.4166667,Golden Valley County,MT
9315,2013,396.6666667,Golden Valley County,MT
9316,2014,391.1666667,Golden Valley County,MT
9317,2015,379.25,Golden Valley County,MT
9318,2010,34313.5,Lewis and Clark County,MT
9319,2011,34502.5,Lewis and Clark County,MT
9320,2012,34919.41667,Lewis and Clark County,MT
9321,2013,35063.41667,Lewis and Clark County,MT
9322,2014,35142.41667,Lewis and Clark County,MT
9323,2015,34952.25,Lewis and Clark County,MT
9324,2010,27095.16667,Lee County,NC
9325,2011,27227.75,Lee County,NC
9326,2012,27093.33333,Lee County,NC
9327,2013,26078.5,Lee County,NC
9328,2014,25024.08333,Lee County,NC
9329,2015,26090.33333,Lee County,NC
9330,2010,13721.91667,Ashe County,NC
9331,2011,13245.58333,Ashe County,NC
9332,2012,13185.91667,Ashe County,NC
9333,2013,12855,Ashe County,NC
9334,2014,12416.58333,Ashe County,NC
9335,2015,12310.16667,Ashe County,NC
9336,2010,4242.333333,Clay County,NC
9337,2011,4144.916667,Clay County,NC
9338,2012,4167.25,Clay County,NC
9339,2013,4054.333333,Clay County,NC
9340,2014,4106.916667,Clay County,NC
9341,2015,4044.166667,Clay County,NC
9342,2010,19685.25,Dare County,NC
9343,2011,20053.75,Dare County,NC
9344,2012,20718.16667,Dare County,NC
9345,2013,20509.66667,Dare County,NC
9346,2014,20118.41667,Dare County,NC
9347,2015,20299.16667,Dare County,NC
9348,2010,18577.5,Hoke County,NC
9349,2011,19450.58333,Hoke County,NC
9350,2012,19831.41667,Hoke County,NC
9351,2013,19761.25,Hoke County,NC
9352,2014,19399.08333,Hoke County,NC
9353,2015,19830.33333,Hoke County,NC
9354,2010,2234.25,Hyde County,NC
9355,2011,2114.166667,Hyde County,NC
9356,2012,2131,Hyde County,NC
9357,2013,2160.583333,Hyde County,NC
9358,2014,2199.75,Hyde County,NC
9359,2015,2144.416667,Hyde County,NC
9360,2010,47452.58333,Nash County,NC
9361,2011,46919.58333,Nash County,NC
9362,2012,46109.58333,Nash County,NC
9363,2013,45332.16667,Nash County,NC
9364,2014,44250.58333,Nash County,NC
9365,2015,43865,Nash County,NC
9366,2010,85917.25,Pitt County,NC
9367,2011,85776.5,Pitt County,NC
9368,2012,87721.25,Pitt County,NC
9369,2013,87886.41667,Pitt County,NC
9370,2014,87492.66667,Pitt County,NC
9371,2015,87688.41667,Pitt County,NC
9372,2010,8561.166667,Polk County,NC
9373,2011,8444.583333,Polk County,NC
9374,2012,8348.75,Polk County,NC
9375,2013,8666.333333,Polk County,NC
9376,2014,8407.666667,Polk County,NC
9377,2015,8660.916667,Polk County,NC
9378,2010,480564.9167,Wake County,NC
9379,2011,487849.6667,Wake County,NC
9380,2012,502453.6667,Wake County,NC
9381,2013,511268,Wake County,NC
9382,2014,523577.0833,Wake County,NC
9383,2015,539483.1667,Wake County,NC
9384,2010,11179.75,Anson County,NC
9385,2011,11098.5,Anson County,NC
9386,2012,11057.58333,Anson County,NC
9387,2013,10919.16667,Anson County,NC
9388,2014,10921.58333,Anson County,NC
9389,2015,10828.58333,Anson County,NC
9390,2010,7944.333333,Avery County,NC
9391,2011,7765.583333,Avery County,NC
9392,2012,7742.916667,Avery County,NC
9393,2013,7684.166667,Avery County,NC
9394,2014,7652.416667,Avery County,NC
9395,2015,7531.416667,Avery County,NC
9396,2010,41686.66667,Burke County,NC
9397,2011,41195.33333,Burke County,NC
9398,2012,40691.91667,Burke County,NC
9399,2013,40101.33333,Burke County,NC
9400,2014,39374.83333,Burke County,NC
9401,2015,39324.41667,Burke County,NC
9402,2010,20258.41667,Davie County,NC
9403,2011,19990.75,Davie County,NC
9404,2012,19995.16667,Davie County,NC
9405,2013,19960.83333,Davie County,NC
9406,2014,19684.25,Davie County,NC
9407,2015,19847.91667,Davie County,NC
9408,2010,5459.5,Gates County,NC
9409,2011,5425.666667,Gates County,NC
9410,2012,5356.666667,Gates County,NC
9411,2013,5255.166667,Gates County,NC
9412,2014,5197.166667,Gates County,NC
9413,2015,5143.583333,Gates County,NC
9414,2010,4598.166667,Jones County,NC
9415,2011,4582.666667,Jones County,NC
9416,2012,4589.083333,Jones County,NC
9417,2013,4538.25,Jones County,NC
9418,2014,4489.333333,Jones County,NC
9419,2015,4547.916667,Jones County,NC
9420,2010,15460.25,Macon County,NC
9421,2011,15483.5,Macon County,NC
9422,2012,15483.75,Macon County,NC
9423,2013,15200.16667,Macon County,NC
9424,2014,15040,Macon County,NC
9425,2015,15119.5,Macon County,NC
9426,2010,36324.5,Moore County,NC
9427,2011,37081.5,Moore County,NC
9428,2012,37474.33333,Moore County,NC
9429,2013,37899.41667,Moore County,NC
9430,2014,38185,Moore County,NC
9431,2015,38289,Moore County,NC
9432,2010,64327.66667,Rowan County,NC
9433,2011,63504.33333,Rowan County,NC
9434,2012,63310.41667,Rowan County,NC
9435,2013,62822.91667,Rowan County,NC
9436,2014,62452,Rowan County,NC
9437,2015,63095.41667,Rowan County,NC
9438,2010,34422.75,Surry County,NC
9439,2011,33831.75,Surry County,NC
9440,2012,33650.91667,Surry County,NC
9441,2013,33279.41667,Surry County,NC
9442,2014,33014.08333,Surry County,NC
9443,2015,33327.5,Surry County,NC
9444,2010,6269.166667,Swain County,NC
9445,2011,6484,Swain County,NC
9446,2012,6521.916667,Swain County,NC
9447,2013,6598.25,Swain County,NC
9448,2014,6489.25,Swain County,NC
9449,2015,6775,Swain County,NC
9450,2010,101154.1667,Union County,NC
9451,2011,102403.9167,Union County,NC
9452,2012,104230.1667,Union County,NC
9453,2013,105687.9167,Union County,NC
9454,2014,108819.8333,Union County,NC
9455,2015,112321.6667,Union County,NC
9456,2010,19018.08333,Vance County,NC
9457,2011,18645.33333,Vance County,NC
9458,2012,18485.66667,Vance County,NC
9459,2013,18128.25,Vance County,NC
9460,2014,18062.41667,Vance County,NC
9461,2015,18046.75,Vance County,NC
9462,2010,54807.5,Wayne County,NC
9463,2011,54884.66667,Wayne County,NC
9464,2012,55376.25,Wayne County,NC
9465,2013,54777.75,Wayne County,NC
9466,2014,53868.91667,Wayne County,NC
9467,2015,53729.5,Wayne County,NC
9468,2010,9191.166667,Bertie County,NC
9469,2011,9070.166667,Bertie County,NC
9470,2012,8668.166667,Bertie County,NC
9471,2013,8460.5,Bertie County,NC
9472,2014,8524.25,Bertie County,NC
9473,2015,8602.916667,Bertie County,NC
9474,2010,15193.66667,Bladen County,NC
9475,2011,14862.83333,Bladen County,NC
9476,2012,14449.66667,Bladen County,NC
9477,2013,14348.75,Bladen County,NC
9478,2014,14299.91667,Bladen County,NC
9479,2015,14739.83333,Bladen County,NC
9480,2010,4593.916667,Camden County,NC
9481,2011,4590.833333,Camden County,NC
9482,2012,4520.583333,Camden County,NC
9483,2013,4522,Camden County,NC
9484,2014,4553.166667,Camden County,NC
9485,2015,4612.666667,Camden County,NC
9486,2010,6150.5,Chowan County,NC
9487,2011,5956.666667,Chowan County,NC
9488,2012,5905.416667,Chowan County,NC
9489,2013,5721,Chowan County,NC
9490,2014,5680.166667,Chowan County,NC
9491,2015,5639.583333,Chowan County,NC
9492,2010,42279.75,Craven County,NC
9493,2011,41925,Craven County,NC
9494,2012,41874.66667,Craven County,NC
9495,2013,41466.91667,Craven County,NC
9496,2014,41105.25,Craven County,NC
9497,2015,41340.5,Craven County,NC
9498,2010,25810.25,Duplin County,NC
9499,2011,26233.16667,Duplin County,NC
9500,2012,26421.08333,Duplin County,NC
9501,2013,26447.66667,Duplin County,NC
9502,2014,26591.08333,Duplin County,NC
9503,2015,26487.83333,Duplin County,NC
9504,2010,143411.5833,Durham County,NC
9505,2011,145291.75,Durham County,NC
9506,2012,148699.4167,Durham County,NC
9507,2013,150359.4167,Durham County,NC
9508,2014,152992.5,Durham County,NC
9509,2015,156609.5,Durham County,NC
9510,2010,101248.25,Gaston County,NC
9511,2011,100474.3333,Gaston County,NC
9512,2012,100996.75,Gaston County,NC
9513,2013,100807.25,Gaston County,NC
9514,2014,100839.5833,Gaston County,NC
9515,2015,102781.6667,Gaston County,NC
9516,2010,3702.333333,Graham County,NC
9517,2011,3616.833333,Graham County,NC
9518,2012,3575.833333,Graham County,NC
9519,2013,3515.583333,Graham County,NC
9520,2014,3318.25,Graham County,NC
9521,2015,3186.416667,Graham County,NC
9522,2010,9428.416667,Greene County,NC
9523,2011,9558,Greene County,NC
9524,2012,9651.916667,Greene County,NC
9525,2013,9410.5,Greene County,NC
9526,2014,9415.583333,Greene County,NC
9527,2015,9479.5,Greene County,NC
9528,2010,26874.08333,Lenoir County,NC
9529,2011,27600.33333,Lenoir County,NC
9530,2012,28488.83333,Lenoir County,NC
9531,2013,28501.66667,Lenoir County,NC
9532,2014,27861.66667,Lenoir County,NC
9533,2015,27741,Lenoir County,NC
9534,2010,10478.91667,Martin County,NC
9535,2011,10637.58333,Martin County,NC
9536,2012,10430.08333,Martin County,NC
9537,2013,10105.66667,Martin County,NC
9538,2014,9885.083333,Martin County,NC
9539,2015,9716.666667,Martin County,NC
9540,2010,63342.41667,Onslow County,NC
9541,2011,62685.83333,Onslow County,NC
9542,2012,63599.25,Onslow County,NC
9543,2013,64041.66667,Onslow County,NC
9544,2014,64033,Onslow County,NC
9545,2015,63748.5,Onslow County,NC
9546,2010,69962.33333,Orange County,NC
9547,2011,70172.75,Orange County,NC
9548,2012,72076.75,Orange County,NC
9549,2013,72647.75,Orange County,NC
9550,2014,72690.66667,Orange County,NC
9551,2015,73371.58333,Orange County,NC
9552,2010,24446,Pender County,NC
9553,2011,24621.33333,Pender County,NC
9554,2012,24879.58333,Pender County,NC
9555,2013,25024.91667,Pender County,NC
9556,2014,25314.83333,Pender County,NC
9557,2015,26016.16667,Pender County,NC
9558,2010,18703.75,Person County,NC
9559,2011,18560,Person County,NC
9560,2012,18393.5,Person County,NC
9561,2013,18290.16667,Person County,NC
9562,2014,17945.33333,Person County,NC
9563,2015,17883.75,Person County,NC
9564,2010,29064,Stanly County,NC
9565,2011,28832.83333,Stanly County,NC
9566,2012,28752.16667,Stanly County,NC
9567,2013,28855.25,Stanly County,NC
9568,2014,28532.41667,Stanly County,NC
9569,2015,28796.25,Stanly County,NC
9570,2010,22846.33333,Stokes County,NC
9571,2011,22506.33333,Stokes County,NC
9572,2012,22391.33333,Stokes County,NC
9573,2013,22180.25,Stokes County,NC
9574,2014,21787.08333,Stokes County,NC
9575,2015,21803.75,Stokes County,NC
9576,2010,7549.583333,Warren County,NC
9577,2011,7640.583333,Warren County,NC
