,Year,Average (Monthly) Number Unemployed,county,state
10492,2014,77.91666667,Furnas County,NE
10493,2015,72.33333333,Furnas County,NE
10494,2010,51.91666667,Garden County,NE
10495,2011,45.08333333,Garden County,NE
10496,2012,40.66666667,Garden County,NE
10497,2013,35.08333333,Garden County,NE
10498,2014,33.75,Garden County,NE
10499,2015,28.83333333,Garden County,NE
10500,2010,41.16666667,Gosper County,NE
10501,2011,39.83333333,Gosper County,NE
10502,2012,33.83333333,Gosper County,NE
10503,2013,40.33333333,Gosper County,NE
10504,2014,34.16666667,Gosper County,NE
10505,2015,26.5,Gosper County,NE
10506,2010,61,Harlan County,NE
10507,2011,61.58333333,Harlan County,NE
10508,2012,61.33333333,Harlan County,NE
10509,2013,57.5,Harlan County,NE
10510,2014,46.83333333,Harlan County,NE
10511,2015,38.16666667,Harlan County,NE
10512,2010,21.16666667,Hooker County,NE
10513,2011,20.5,Hooker County,NE
10514,2012,20.25,Hooker County,NE
10515,2013,20.91666667,Hooker County,NE
10516,2014,18.25,Hooker County,NE
10517,2015,17.08333333,Hooker County,NE
10518,2010,148.25,Howard County,NE
10519,2011,137.9166667,Howard County,NE
10520,2012,123.6666667,Howard County,NE
10521,2013,125.6666667,Howard County,NE
10522,2014,125.3333333,Howard County,NE
10523,2015,121,Howard County,NE
10524,2010,205.0833333,Nemaha County,NE
10525,2011,197.3333333,Nemaha County,NE
10526,2012,188.1666667,Nemaha County,NE
10527,2013,190.8333333,Nemaha County,NE
10528,2014,143.25,Nemaha County,NE
10529,2015,135.1666667,Nemaha County,NE
10530,2010,63.25,Pawnee County,NE
10531,2011,62.16666667,Pawnee County,NE
10532,2012,54.33333333,Pawnee County,NE
10533,2013,52.75,Pawnee County,NE
10534,2014,45.75,Pawnee County,NE
10535,2015,43.25,Pawnee County,NE
10536,2010,176.8333333,Phelps County,NE
10537,2011,183.1666667,Phelps County,NE
10538,2012,151.9166667,Phelps County,NE
10539,2013,151.0833333,Phelps County,NE
10540,2014,130.75,Phelps County,NE
10541,2015,119.4166667,Phelps County,NE
10542,2010,153.1666667,Pierce County,NE
10543,2011,148.5833333,Pierce County,NE
10544,2012,140.3333333,Pierce County,NE
10545,2013,141.1666667,Pierce County,NE
10546,2014,121.5,Pierce County,NE
10547,2015,106.0833333,Pierce County,NE
10548,2010,744.9166667,Platte County,NE
10549,2011,742.25,Platte County,NE
10550,2012,659.5,Platte County,NE
10551,2013,615.5,Platte County,NE
10552,2014,516.0833333,Platte County,NE
10553,2015,510.5,Platte County,NE
10554,2010,340.9166667,Saline County,NE
10555,2011,345.6666667,Saline County,NE
10556,2012,320.0833333,Saline County,NE
10557,2013,315.25,Saline County,NE
10558,2014,248.5833333,Saline County,NE
10559,2015,213.4166667,Saline County,NE
10560,2010,350.9166667,Seward County,NE
10561,2011,337.1666667,Seward County,NE
10562,2012,314.8333333,Seward County,NE
10563,2013,332.5833333,Seward County,NE
10564,2014,271.4166667,Seward County,NE
10565,2015,252.5833333,Seward County,NE
10566,2010,106.4166667,Thayer County,NE
10567,2011,95.5,Thayer County,NE
10568,2012,92.33333333,Thayer County,NE
10569,2013,85.41666667,Thayer County,NE
10570,2014,77.25,Thayer County,NE
10571,2015,69.83333333,Thayer County,NE
10572,2010,18.66666667,Thomas County,NE
10573,2011,21.75,Thomas County,NE
10574,2012,16.58333333,Thomas County,NE
10575,2013,17.5,Thomas County,NE
10576,2014,15.33333333,Thomas County,NE
10577,2015,12.66666667,Thomas County,NE
10578,2010,94.66666667,Valley County,NE
10579,2011,86,Valley County,NE
10580,2012,75.41666667,Valley County,NE
10581,2013,70.66666667,Valley County,NE
10582,2014,63.75,Valley County,NE
10583,2015,57.5,Valley County,NE
10584,2010,956.75,Buffalo County,NE
10585,2011,942.1666667,Buffalo County,NE
10586,2012,901.3333333,Buffalo County,NE
10587,2013,888.1666667,Buffalo County,NE
10588,2014,758,Buffalo County,NE
10589,2015,661.8333333,Buffalo County,NE
10590,2010,14294.33333,Douglas County,NE
10591,2011,13807.16667,Douglas County,NE
10592,2012,12762.83333,Douglas County,NE
10593,2013,11879.58333,Douglas County,NE
10594,2014,10371.83333,Douglas County,NE
10595,2015,9487.333333,Douglas County,NE
10596,2010,49.33333333,Greeley County,NE
10597,2011,52.58333333,Greeley County,NE
10598,2012,47.33333333,Greeley County,NE
10599,2013,45.5,Greeley County,NE
10600,2014,41,Greeley County,NE
10601,2015,38.75,Greeley County,NE
10602,2010,108.8333333,Johnson County,NE
10603,2011,106.75,Johnson County,NE
10604,2012,94.91666667,Johnson County,NE
10605,2013,94.91666667,Johnson County,NE
10606,2014,82.91666667,Johnson County,NE
10607,2015,69.91666667,Johnson County,NE
10608,2010,132.5,Kearney County,NE
10609,2011,126.1666667,Kearney County,NE
10610,2012,113,Kearney County,NE
10611,2013,110.3333333,Kearney County,NE
10612,2014,94.58333333,Kearney County,NE
10613,2015,84,Kearney County,NE
10614,2010,99.5,Kimball County,NE
10615,2011,79,Kimball County,NE
10616,2012,73.33333333,Kimball County,NE
10617,2013,72.66666667,Kimball County,NE
10618,2014,55.91666667,Kimball County,NE
10619,2015,72.91666667,Kimball County,NE
10620,2010,877.25,Lincoln County,NE
10621,2011,851.1666667,Lincoln County,NE
10622,2012,759.0833333,Lincoln County,NE
10623,2013,728.75,Lincoln County,NE
10624,2014,608.0833333,Lincoln County,NE
10625,2015,536.9166667,Lincoln County,NE
10626,2010,799.4166667,Madison County,NE
10627,2011,777.25,Madison County,NE
10628,2012,709,Madison County,NE
10629,2013,676.1666667,Madison County,NE
10630,2014,574,Madison County,NE
10631,2015,525.75,Madison County,NE
10632,2010,188.9166667,Merrick County,NE
10633,2011,177.5833333,Merrick County,NE
10634,2012,155,Merrick County,NE
10635,2013,155.8333333,Merrick County,NE
10636,2014,155.75,Merrick County,NE
10637,2015,149.9166667,Merrick County,NE
10638,2010,107.9166667,Morrill County,NE
10639,2011,89.5,Morrill County,NE
10640,2012,86.33333333,Morrill County,NE
10641,2013,88.75,Morrill County,NE
10642,2014,80.66666667,Morrill County,NE
10643,2015,76.08333333,Morrill County,NE
10644,2010,58.91666667,Perkins County,NE
10645,2011,52.08333333,Perkins County,NE
10646,2012,48.75,Perkins County,NE
10647,2013,46.5,Perkins County,NE
10648,2014,39.33333333,Perkins County,NE
10649,2015,33.75,Perkins County,NE
10650,2010,69.5,Sherman County,NE
10651,2011,75.91666667,Sherman County,NE
10652,2012,65.75,Sherman County,NE
10653,2013,57.83333333,Sherman County,NE
10654,2014,57.16666667,Sherman County,NE
10655,2015,49.75,Sherman County,NE
10656,2010,146.25,Stanton County,NE
10657,2011,135.25,Stanton County,NE
10658,2012,127.75,Stanton County,NE
10659,2013,122.75,Stanton County,NE
10660,2014,99.83333333,Stanton County,NE
10661,2015,89,Stanton County,NE
10662,2010,82.41666667,Webster County,NE
10663,2011,79.66666667,Webster County,NE
10664,2012,63.83333333,Webster County,NE
10665,2013,67.83333333,Webster County,NE
10666,2014,58.41666667,Webster County,NE
10667,2015,61.08333333,Webster County,NE
10668,2010,20.08333333,Wheeler County,NE
10669,2011,17.08333333,Wheeler County,NE
10670,2012,17.58333333,Wheeler County,NE
10671,2013,17.33333333,Wheeler County,NE
10672,2014,15.83333333,Wheeler County,NE
10673,2015,13.33333333,Wheeler County,NE
10674,2010,126.4166667,Antelope County,NE
10675,2011,130.5833333,Antelope County,NE
10676,2012,116.5,Antelope County,NE
10677,2013,116.4166667,Antelope County,NE
10678,2014,97.33333333,Antelope County,NE
10679,2015,92.25,Antelope County,NE
10680,2010,201.6666667,Cheyenne County,NE
10681,2011,172.8333333,Cheyenne County,NE
10682,2012,160.8333333,Cheyenne County,NE
10683,2013,164.4166667,Cheyenne County,NE
10684,2014,124.9166667,Cheyenne County,NE
10685,2015,124.9166667,Cheyenne County,NE
10686,2010,121.1666667,Fillmore County,NE
10687,2011,115,Fillmore County,NE
10688,2012,108.25,Fillmore County,NE
10689,2013,99.25,Fillmore County,NE
10690,2014,78.33333333,Fillmore County,NE
10691,2015,94.91666667,Fillmore County,NE
10692,2010,71.33333333,Franklin County,NE
10693,2011,70,Franklin County,NE
10694,2012,60,Franklin County,NE
10695,2013,56.08333333,Franklin County,NE
10696,2014,50.08333333,Franklin County,NE
10697,2015,35.91666667,Franklin County,NE
10698,2010,59.75,Frontier County,NE
10699,2011,57.16666667,Frontier County,NE
10700,2012,51.83333333,Frontier County,NE
10701,2013,54.08333333,Frontier County,NE
10702,2014,43.33333333,Frontier County,NE
10703,2015,37.16666667,Frontier County,NE
10704,2010,37.41666667,Garfield County,NE
10705,2011,41,Garfield County,NE
10706,2012,37.08333333,Garfield County,NE
10707,2013,37.83333333,Garfield County,NE
10708,2014,30.75,Garfield County,NE
10709,2015,28.75,Garfield County,NE
10710,2010,180.8333333,Hamilton County,NE
10711,2011,182.75,Hamilton County,NE
10712,2012,161.6666667,Hamilton County,NE
10713,2013,154.9166667,Hamilton County,NE
10714,2014,143.3333333,Hamilton County,NE
10715,2015,134.5833333,Hamilton County,NE
10716,2010,100.1666667,Nuckolls County,NE
10717,2011,89.83333333,Nuckolls County,NE
10718,2012,86.08333333,Nuckolls County,NE
10719,2013,79.33333333,Nuckolls County,NE
10720,2014,67.58333333,Nuckolls County,NE
10721,2015,60.91666667,Nuckolls County,NE
10722,2010,536.3333333,Saunders County,NE
10723,2011,513.6666667,Saunders County,NE
10724,2012,474.4166667,Saunders County,NE
10725,2013,451,Saunders County,NE
10726,2014,382.9166667,Saunders County,NE
10727,2015,335.8333333,Saunders County,NE
10728,2010,100.25,Sheridan County,NE
10729,2011,101.4166667,Sheridan County,NE
10730,2012,99.75,Sheridan County,NE
10731,2013,90.75,Sheridan County,NE
10732,2014,72.66666667,Sheridan County,NE
10733,2015,73.83333333,Sheridan County,NE
10734,2010,292,Thurston County,NE
10735,2011,317.5,Thurston County,NE
10736,2012,274,Thurston County,NE
10737,2013,237.75,Thurston County,NE
10738,2014,183.5,Thurston County,NE
10739,2015,157.8333333,Thurston County,NE
10740,2010,291.25,Box Butte County,NE
10741,2011,252.5833333,Box Butte County,NE
10742,2012,239.6666667,Box Butte County,NE
10743,2013,231.3333333,Box Butte County,NE
10744,2014,179.5,Box Butte County,NE
10745,2015,170.1666667,Box Butte County,NE
10746,2010,71.91666667,Hitchcock County,NE
10747,2011,67,Hitchcock County,NE
10748,2012,55.83333333,Hitchcock County,NE
10749,2013,55.33333333,Hitchcock County,NE
10750,2014,46.08333333,Hitchcock County,NE
10751,2015,43.08333333,Hitchcock County,NE
10752,2010,201.0833333,Jefferson County,NE
10753,2011,189.3333333,Jefferson County,NE
10754,2012,163.3333333,Jefferson County,NE
10755,2013,161.3333333,Jefferson County,NE
10756,2014,130.8333333,Jefferson County,NE
10757,2015,115.5833333,Jefferson County,NE
10758,2010,20.25,Keya Paha County,NE
10759,2011,17.66666667,Keya Paha County,NE
10760,2012,18.66666667,Keya Paha County,NE
10761,2013,20.41666667,Keya Paha County,NE
10762,2014,17.16666667,Keya Paha County,NE
10763,2015,13.66666667,Keya Paha County,NE
10764,2010,6850.75,Lancaster County,NE
10765,2011,6564.583333,Lancaster County,NE
10766,2012,6050.666667,Lancaster County,NE
10767,2013,5842.916667,Lancaster County,NE
10768,2014,5004,Lancaster County,NE
10769,2015,4421.5,Lancaster County,NE
10770,2010,9.916666667,McPherson County,NE
10771,2011,9.083333333,McPherson County,NE
10772,2012,12.5,McPherson County,NE
10773,2013,13.91666667,McPherson County,NE
10774,2014,10.25,McPherson County,NE
10775,2015,8.583333333,McPherson County,NE
10776,2010,227.4166667,Red Willow County,NE
10777,2011,218.25,Red Willow County,NE
10778,2012,206.5833333,Red Willow County,NE
10779,2013,189.8333333,Red Willow County,NE
10780,2014,161.4166667,Red Willow County,NE
10781,2015,161.1666667,Red Willow County,NE
10782,2010,269.5,Richardson County,NE
10783,2011,265.5833333,Richardson County,NE
10784,2012,225.5,Richardson County,NE
10785,2013,195.4166667,Richardson County,NE
10786,2014,155.5833333,Richardson County,NE
10787,2015,138.4166667,Richardson County,NE
10788,2010,515.8333333,Washington County,NE
10789,2011,489,Washington County,NE
10790,2012,423.5,Washington County,NE
10791,2013,409.25,Washington County,NE
10792,2014,355.8333333,Washington County,NE
10793,2015,328.25,Washington County,NE
10794,2010,1055.5,Scotts Bluff County,NE
10795,2011,963.75,Scotts Bluff County,NE
10796,2012,902.3333333,Scotts Bluff County,NE
10797,2013,805.3333333,Scotts Bluff County,NE
10798,2014,679.4166667,Scotts Bluff County,NE
10799,2015,631,Scotts Bluff County,NE
10800,2010,1220.083333,Coos County,NH
10801,2011,1190.583333,Coos County,NH
10802,2012,1190.75,Coos County,NH
10803,2013,969,Coos County,NH
10804,2014,860.0833333,Coos County,NH
10805,2015,643.75,Coos County,NH
10806,2010,2054.833333,Belknap County,NH
10807,2011,1764.083333,Belknap County,NH
10808,2012,1736.5,Belknap County,NH
10809,2013,1603.166667,Belknap County,NH
10810,2014,1315.583333,Belknap County,NH
10811,2015,1048.416667,Belknap County,NH
10812,2010,1413.916667,Carroll County,NH
10813,2011,1348.833333,Carroll County,NH
10814,2012,1299.583333,Carroll County,NH
10815,2013,1201.166667,Carroll County,NH
10816,2014,1014.916667,Carroll County,NH
10817,2015,821.9166667,Carroll County,NH
10818,2010,2318.75,Grafton County,NH
10819,2011,2172.083333,Grafton County,NH
10820,2012,2167.083333,Grafton County,NH
10821,2013,2044.416667,Grafton County,NH
10822,2014,1668.083333,Grafton County,NH
10823,2015,1329.666667,Grafton County,NH
10824,2010,2361,Cheshire County,NH
10825,2011,2135.5,Cheshire County,NH
10826,2012,2164.666667,Cheshire County,NH
10827,2013,1987.166667,Cheshire County,NH
10828,2014,1693.416667,Cheshire County,NH
10829,2015,1309.25,Cheshire County,NH
10830,2010,1246.25,Sullivan County,NH
10831,2011,1097.166667,Sullivan County,NH
10832,2012,1078.833333,Sullivan County,NH
10833,2013,991.6666667,Sullivan County,NH
10834,2014,835.1666667,Sullivan County,NH
10835,2015,647.0833333,Sullivan County,NH
10836,2010,4351.5,Merrimack County,NH
10837,2011,3992.333333,Merrimack County,NH
10838,2012,4015.416667,Merrimack County,NH
10839,2013,3739,Merrimack County,NH
10840,2014,3089.416667,Merrimack County,NH
10841,2015,2491.75,Merrimack County,NH
10842,2010,3943.333333,Strafford County,NH
10843,2011,3686.833333,Strafford County,NH
10844,2012,3789.5,Strafford County,NH
10845,2013,3422.416667,Strafford County,NH
10846,2014,2817.166667,Strafford County,NH
10847,2015,2212.333333,Strafford County,NH
10848,2010,10300.91667,Rockingham County,NH
10849,2011,9642.5,Rockingham County,NH
10850,2012,10159.58333,Rockingham County,NH
10851,2013,9556.083333,Rockingham County,NH
10852,2014,8136,Rockingham County,NH
10853,2015,6394.833333,Rockingham County,NH
10854,2010,13910.83333,Hillsborough County,NH
10855,2011,12739,Hillsborough County,NH
10856,2012,13122.5,Hillsborough County,NH
10857,2013,12236.5,Hillsborough County,NH
10858,2014,10257.91667,Hillsborough County,NH
10859,2015,8165.083333,Hillsborough County,NH
10860,2010,41443.5,Essex County,NJ
10861,2011,41448.58333,Essex County,NJ
10862,2012,41283.83333,Essex County,NJ
10863,2013,36839.41667,Essex County,NJ
10864,2014,30207.58333,Essex County,NJ
10865,2015,25956,Essex County,NJ
10866,2010,27146,Ocean County,NJ
10867,2011,27703.83333,Ocean County,NJ
10868,2012,28524.41667,Ocean County,NJ
10869,2013,24754.5,Ocean County,NJ
10870,2014,19688.25,Ocean County,NJ
10871,2015,16586,Ocean County,NJ
10872,2010,3744.833333,Salem County,NJ
10873,2011,3772.416667,Salem County,NJ
10874,2012,3802.833333,Salem County,NJ
10875,2013,3318.583333,Salem County,NJ
10876,2014,2665,Salem County,NJ
10877,2015,2287.916667,Salem County,NJ
10878,2010,26617,Union County,NJ
10879,2011,26708.66667,Union County,NJ
10880,2012,26773.58333,Union County,NJ
10881,2013,23571.91667,Union County,NJ
10882,2014,19467.25,Union County,NJ
10883,2015,16951.91667,Union County,NJ
10884,2010,38445.58333,Bergen County,NJ
10885,2011,37124.58333,Bergen County,NJ
10886,2012,37236.83333,Bergen County,NJ
10887,2013,32410,Bergen County,NJ
10888,2014,26198.66667,Bergen County,NJ
10889,2015,22790.83333,Bergen County,NJ
10890,2010,28963.91667,Camden County,NJ
10891,2011,28536.16667,Camden County,NJ
10892,2012,28153.91667,Camden County,NJ
10893,2013,24260,Camden County,NJ
10894,2014,19553,Camden County,NJ
10895,2015,16498.41667,Camden County,NJ
10896,2010,33751.66667,Hudson County,NJ
10897,2011,32698.5,Hudson County,NJ
10898,2012,32071.83333,Hudson County,NJ
10899,2013,28299.16667,Hudson County,NJ
10900,2014,22929.41667,Hudson County,NJ
10901,2015,19531.58333,Hudson County,NJ
10902,2010,16102.75,Mercer County,NJ
10903,2011,16017.5,Mercer County,NJ
10904,2012,16048.75,Mercer County,NJ
10905,2013,14127.75,Mercer County,NJ
10906,2014,11511.5,Mercer County,NJ
10907,2015,9942.166667,Mercer County,NJ
10908,2010,19632.41667,Morris County,NJ
10909,2011,18757.41667,Morris County,NJ
10910,2012,19032.58333,Morris County,NJ
10911,2013,16350.58333,Morris County,NJ
10912,2014,13198.33333,Morris County,NJ
10913,2015,11464.08333,Morris County,NJ
10914,2010,7756.666667,Sussex County,NJ
10915,2011,7561.166667,Sussex County,NJ
10916,2012,7326.333333,Sussex County,NJ
10917,2013,6307.166667,Sussex County,NJ
10918,2014,4992.666667,Sussex County,NJ
10919,2015,4186.25,Sussex County,NJ
10920,2010,5771.083333,Warren County,NJ
10921,2011,5334.416667,Warren County,NJ
10922,2012,5130.5,Warren County,NJ
10923,2013,4424.333333,Warren County,NJ
10924,2014,3625.666667,Warren County,NJ
10925,2015,3070.583333,Warren County,NJ
10926,2010,28762.75,Passaic County,NJ
10927,2011,27918.83333,Passaic County,NJ
10928,2012,28097.25,Passaic County,NJ
10929,2013,25023.66667,Passaic County,NJ
10930,2014,20537.41667,Passaic County,NJ
10931,2015,17639.33333,Passaic County,NJ
10932,2010,17268.33333,Atlantic County,NJ
10933,2011,17472.66667,Atlantic County,NJ
10934,2012,17870.91667,Atlantic County,NJ
10935,2013,16078.75,Atlantic County,NJ
10936,2014,14020.08333,Atlantic County,NJ
10937,2015,12237.41667,Atlantic County,NJ
10938,2010,7026.333333,Cape May County,NJ
10939,2011,7350.666667,Cape May County,NJ
10940,2012,7709.083333,Cape May County,NJ
10941,2013,7039.833333,Cape May County,NJ
10942,2014,5987.416667,Cape May County,NJ
10943,2015,5390.916667,Cape May County,NJ
10944,2010,28873.33333,Monmouth County,NJ
10945,2011,28271.91667,Monmouth County,NJ
10946,2012,28901.83333,Monmouth County,NJ
10947,2013,24728.75,Monmouth County,NJ
10948,2014,19922.25,Monmouth County,NJ
10949,2015,17034.41667,Monmouth County,NJ
10950,2010,13177.58333,Somerset County,NJ
10951,2011,12880.66667,Somerset County,NJ
10952,2012,13099.91667,Somerset County,NJ
10953,2013,11091.33333,Somerset County,NJ
10954,2014,9087.083333,Somerset County,NJ
10955,2015,7966.583333,Somerset County,NJ
10956,2010,5048.666667,Hunterdon County,NJ
10957,2011,4679.083333,Hunterdon County,NJ
10958,2012,4626.083333,Hunterdon County,NJ
10959,2013,3895.666667,Hunterdon County,NJ
10960,2014,3213,Hunterdon County,NJ
10961,2015,2787.083333,Hunterdon County,NJ
10962,2010,37961.41667,Middlesex County,NJ
10963,2011,37260.16667,Middlesex County,NJ
10964,2012,37165.08333,Middlesex County,NJ
10965,2013,32565.33333,Middlesex County,NJ
10966,2014,26623.75,Middlesex County,NJ
10967,2015,22679.75,Middlesex County,NJ
10968,2010,21302.58333,Burlington County,NJ
10969,2011,20530.58333,Burlington County,NJ
10970,2012,20460.91667,Burlington County,NJ
10971,2013,17916.66667,Burlington County,NJ
10972,2014,14811.5,Burlington County,NJ
10973,2015,12434.16667,Burlington County,NJ
10974,2010,9431,Cumberland County,NJ
10975,2011,9313.25,Cumberland County,NJ
10976,2012,9373.416667,Cumberland County,NJ
10977,2013,8186.833333,Cumberland County,NJ
10978,2014,6754.416667,Cumberland County,NJ
10979,2015,6016.916667,Cumberland County,NJ
10980,2010,15647.83333,Gloucester County,NJ
10981,2011,15466.83333,Gloucester County,NJ
10982,2012,15356.91667,Gloucester County,NJ
10983,2013,13541.08333,Gloucester County,NJ
10984,2014,10918.83333,Gloucester County,NJ
10985,2015,9084.916667,Gloucester County,NJ
10986,2010,2078.083333,Lea County,NM
10987,2011,1520.166667,Lea County,NM
10988,2012,1337.25,Lea County,NM
10989,2013,1311.75,Lea County,NM
10990,2014,1350.416667,Lea County,NM
10991,2015,1841.666667,Lea County,NM
10992,2010,1642.75,Eddy County,NM
10993,2011,1347.833333,Eddy County,NM
10994,2012,1254.583333,Eddy County,NM
10995,2013,1268.75,Eddy County,NM
10996,2014,1288.333333,Eddy County,NM
10997,2015,1458.916667,Eddy County,NM
10998,2010,2350.416667,Luna County,NM
10999,2011,2325.833333,Luna County,NM
11000,2012,2289.666667,Luna County,NM
11001,2013,2148.833333,Luna County,NM
11002,2014,2057.5,Luna County,NM
11003,2015,1901,Luna County,NM
11004,2010,299.9166667,Mora County,NM
11005,2011,293.9166667,Mora County,NM
11006,2012,255.4166667,Mora County,NM
11007,2013,263,Mora County,NM
11008,2014,249.5833333,Mora County,NM
11009,2015,218.5833333,Mora County,NM
11010,2010,330.4166667,Quay County,NM
11011,2011,326.1666667,Quay County,NM
11012,2012,274.4166667,Quay County,NM
11013,2013,239.5833333,Quay County,NM
11014,2014,217.3333333,Quay County,NM
11015,2015,231.4166667,Quay County,NM
11016,2010,1640.5,Taos County,NM
11017,2011,1592.333333,Taos County,NM
11018,2012,1568.916667,Taos County,NM
11019,2013,1554,Taos County,NM
11020,2014,1490,Taos County,NM
11021,2015,1357.833333,Taos County,NM
11022,2010,1158.083333,Curry County,NM
11023,2011,1090.333333,Curry County,NM
11024,2012,1069.333333,Curry County,NM
11025,2013,1097.083333,Curry County,NM
11026,2014,1100.166667,Curry County,NM
11027,2015,1062.583333,Curry County,NM
11028,2010,1192.833333,Grant County,NM
11029,2011,929.5833333,Grant County,NM
11030,2012,865.0833333,Grant County,NM
11031,2013,869.4166667,Grant County,NM
11032,2014,827.0833333,Grant County,NM
11033,2015,803,Grant County,NM
11034,2010,1813.916667,Otero County,NM
11035,2011,1683.666667,Otero County,NM
11036,2012,1629.583333,Otero County,NM
11037,2013,1609.25,Otero County,NM
11038,2014,1549.5,Otero County,NM
11039,2015,1537.833333,Otero County,NM
11040,2010,120.5,Union County,NM
11041,2011,91.25,Union County,NM
11042,2012,81.83333333,Union County,NM
11043,2013,85.83333333,Union County,NM
11044,2014,87.41666667,Union County,NM
11045,2015,82.25,Union County,NM
11046,2010,146.4166667,Catron County,NM
11047,2011,129.0833333,Catron County,NM
11048,2012,119.4166667,Catron County,NM
11049,2013,110.4166667,Catron County,NM
11050,2014,99.16666667,Catron County,NM
11051,2015,98.66666667,Catron County,NM
11052,2010,2115,Chaves County,NM
11053,2011,1864.333333,Chaves County,NM
11054,2012,1751.5,Chaves County,NM
11055,2013,1672.5,Chaves County,NM
11056,2014,1659.166667,Chaves County,NM
11057,2015,1736.416667,Chaves County,NM
11058,2010,895.9166667,Cibola County,NM
11059,2011,878.1666667,Cibola County,NM
11060,2012,797.0833333,Cibola County,NM
11061,2013,775.3333333,Cibola County,NM
11062,2014,776.8333333,Cibola County,NM
11063,2015,737.1666667,Cibola County,NM
11064,2010,533.0833333,Colfax County,NM
11065,2011,513.0833333,Colfax County,NM
11066,2012,480.3333333,Colfax County,NM
11067,2013,437.9166667,Colfax County,NM
11068,2014,387.0833333,Colfax County,NM
11069,2015,359.8333333,Colfax County,NM
11070,2010,370.3333333,Sierra County,NM
11071,2011,382.9166667,Sierra County,NM
11072,2012,390.3333333,Sierra County,NM
11073,2013,389.4166667,Sierra County,NM
11074,2014,363.1666667,Sierra County,NM
11075,2015,364.3333333,Sierra County,NM
11076,2010,50.16666667,De Baca County,NM
11077,2011,42,De Baca County,NM
11078,2012,35,De Baca County,NM
11079,2013,37,De Baca County,NM
11080,2014,39.5,De Baca County,NM
11081,2015,43.41666667,De Baca County,NM
11082,2010,17.75,Harding County,NM
11083,2011,19,Harding County,NM
11084,2012,18.83333333,Harding County,NM
11085,2013,14.66666667,Harding County,NM
11086,2014,15.5,Harding County,NM
11087,2015,23.91666667,Harding County,NM
11088,2010,194.5833333,Hidalgo County,NM
11089,2011,173,Hidalgo County,NM
11090,2012,171.6666667,Hidalgo County,NM
11091,2013,164.25,Hidalgo County,NM
11092,2014,152.8333333,Hidalgo County,NM
11093,2015,131.5,Hidalgo County,NM
11094,2010,704.0833333,Lincoln County,NM
11095,2011,616.8333333,Lincoln County,NM
11096,2012,585,Lincoln County,NM
11097,2013,566.6666667,Lincoln County,NM
11098,2014,530,Lincoln County,NM
11099,2015,498.1666667,Lincoln County,NM
11100,2010,535.5833333,Socorro County,NM
11101,2011,522.6666667,Socorro County,NM
11102,2012,476.1666667,Socorro County,NM
11103,2013,488.1666667,Socorro County,NM
11104,2014,476.6666667,Socorro County,NM
11105,2015,490.75,Socorro County,NM
11106,2010,7259.916667,Dona Ana County,NM
11107,2011,7054,Dona Ana County,NM
11108,2012,6860.666667,Dona Ana County,NM
11109,2013,7006.416667,Dona Ana County,NM
11110,2014,6855.833333,Dona Ana County,NM
11111,2015,6858.333333,Dona Ana County,NM
11112,2010,2511.416667,McKinley County,NM
11113,2011,2480.333333,McKinley County,NM
11114,2012,2392,McKinley County,NM
11115,2013,2458.083333,McKinley County,NM
11116,2014,2426.916667,McKinley County,NM
11117,2015,2361.25,McKinley County,NM
11118,2010,5107.75,Sandoval County,NM
11119,2011,4886.75,Sandoval County,NM
11120,2012,4708.333333,Sandoval County,NM
11121,2013,4509.75,Sandoval County,NM
11122,2014,4382.25,Sandoval County,NM
11123,2015,4095.75,Sandoval County,NM
11124,2010,5147.083333,San Juan County,NM
11125,2011,4326.75,San Juan County,NM
11126,2012,3925.083333,San Juan County,NM
11127,2013,3700,San Juan County,NM
11128,2014,3532.5,San Juan County,NM
11129,2015,3808.583333,San Juan County,NM
11130,2010,5044.25,Santa Fe County,NM
11131,2011,4584.166667,Santa Fe County,NM
11132,2012,4257.25,Santa Fe County,NM
11133,2013,4087.583333,Santa Fe County,NM
11134,2014,3955.75,Santa Fe County,NM
11135,2015,3889,Santa Fe County,NM
11136,2010,697.25,Torrance County,NM
11137,2011,673.0833333,Torrance County,NM
11138,2012,611.75,Torrance County,NM
11139,2013,572.0833333,Torrance County,NM
11140,2014,546.1666667,Torrance County,NM
11141,2015,491.0833333,Torrance County,NM
11142,2010,2980,Valencia County,NM
11143,2011,2758.25,Valencia County,NM
11144,2012,2621.416667,Valencia County,NM
11145,2013,2495.666667,Valencia County,NM
11146,2014,2327.416667,Valencia County,NM
11147,2015,2193.666667,Valencia County,NM
11148,2010,167.1666667,Guadalupe County,NM
11149,2011,175,Guadalupe County,NM
11150,2012,165.3333333,Guadalupe County,NM
11151,2013,141.5833333,Guadalupe County,NM
11152,2014,124.4166667,Guadalupe County,NM
11153,2015,114.75,Guadalupe County,NM
11154,2010,526.4166667,Roosevelt County,NM
11155,2011,476.5,Roosevelt County,NM
11156,2012,466.1666667,Roosevelt County,NM
11157,2013,465,Roosevelt County,NM
11158,2014,450.5,Roosevelt County,NM
11159,2015,432.3333333,Roosevelt County,NM
11160,2010,25235.5,Bernalillo County,NM
11161,2011,23311.08333,Bernalillo County,NM
11162,2012,21811,Bernalillo County,NM
11163,2013,20673.33333,Bernalillo County,NM
11164,2014,19900.91667,Bernalillo County,NM
11165,2015,18877.5,Bernalillo County,NM
